cxx-hep/root-cern
kirbyherm/root-r-tools
rootpy/root_numpy
jottCern/rootana
bitsta/rootcoin
jmatta1/RootGRAnalyzer
ROOTPWA-Maintainers/ROOTPWA
Echsecutor/rootSolver
kreczko/RooUnfold
xunzhang/roraima
Scheik/ROS-Groovy-Workspace
tonybaltovski/ros_arduino
ipa320/ros_canopen
ros/ros_comm
ros-controls/ros_control
ros-controls/ros_controllers
NASA-rdt/ros_cyton_gamma
osrf/ros_dds
shadow-robot/ros_ethercat
ros2/ros_middleware_connext
geni-lab/ros_pololu_servo
b-adkins/ros_pomdp
irvs/ros_tms
ros/ros_tutorials
RobotWebTools/ros_web_video
trygogins/rosa-cloud
osrf/rosbag_direct_write
ros/roscpp_core
rospilot/rospilot_deps
clicon/rost
jpmerc/rosWS
blind0wl/rot_altis_life
CDargis/Roto-Cal
rookies/route94
oatemeal/RoW-Framework
RichardLuo/rowboat-frameworks-native
OSURoboticsClub/Rover2015
google/rowhammer-test
smanenfr/rp
DHrpcs3/rpcs3
thesamet/rpcz
Alexthelionheart/RPG
thedeann/rpg_quest
uzh-rpg/rpg_svo
uzh-rpg/rpg_vikit
jotak/RPGProject
Wicker25/Rpi-hw
hzeller/rpi-rgb-led-matrix
NREL/rplexos
robopeak/rplidar_ros
hzeller/rpt2pnp
eddelbuettel/rquantlib
allesrebel/rrLevelEditor
RoboJackets/rrt
ewxrjk/rsbackup
valkjsaaa/RScheme-for-Mac
arton/RScript22
bli25wisc/RSEM
tassoeb/rshell
gaoyi/RSSExtension
RetroShare/rssocialnet
stan-dev/rstan
gzorin/RSXGL
introlab/rtabmap_ros
ASTRO-BO/RTAtelem
thestk/rtaudio
rtbkit/rtbkit
richards-tech/RTIMULib-Arduino
SimonRit/RTK
microtony/RTLSDR-Airband
mntone/RtmpClient
start-jsk/rtmros_gazebo
rakshasa/rtorrent
fundamental/rtosc-tutorial
RTS2/rts2
Ellon/rtslamros
orocos-toolchain/rtt
orocos/rtt_geometry
jhu-lcsr-forks/rtt_ros_integration
MaxWayt/RType
a-price/rubble
santa01/rubik
kitech/ruby-jit-qt
nuodb/ruby-nuodb
seanchas116/ruby-qml
knu/ruby-unf_ext
hugopl/RubyCreator
awishnick/Ruffian
cessen/rune
ARCCN/runos
dal/RunParticles
runtimejs/runtime
openaphid/Runtime
RuntimeCompiledCPlusPlus/RuntimeCompiledCPlusPlus
servo/rust-azure
ckkashyap/rustix
kmdm/ruuveal
TEHGAM/RW2
zarquon42b/Rvcg
ros-visualization/rviz
