Rapptz/jsonpp
panopticoncentral/jsrt-wrappers
proog128/jswin
salamanderrex/jtorrent
MiniGame/JTW
jubatus/jubatus
jubatus/jubatus-mpio
jubatus/jubatus_core
julianstorer/JUCE
kunitoki/juced
bsutherland/JuceOPLVSTi
monestereo/JuceStandalonePluginTemplate
duguying/judger
gcdean/JudoMaster
Alprog/Judy
Mezomish/juffed
forio/julia-studio
c4fcm/Junkyard-Jumbotron
galaxy-team/jupiter
Ingener74/Jupiter
sabel83/just
Toutjuste/JustPlug
namuol/jv8
YasserAsmi/jvar
frobs/JvmLauncher
Zguy/Jzon
mawww/kakoune
mkiol/kaktus
pbrakel/kaldi
vimal-manohar91/kaldi-git
ethz-asl/kalibr
dos1/kamerka
KanColleTool/KanColleTool
goatofcheese/Kangaeru
ioriayane/KanmusuMemory
louvainlinux/KapCompta
gottcode/kapow
sialan-labs/kaqaz
tekezo/Karabiner
amireh/Karazeh
dbzhang800/karchive
purpleKarrot/Karrot
shasheene/kartBattle
kremius/karya-valya
FlyingJester/Kashyyyk
uos/katana_driver
zaufi/kate-cpp-helper-plugin
SandstormGames/KATW
Kazade/kazmath
bstroosnijder/KB06
mer-packages/kcalcore
kckrepo/kck-repo
fcitx/kcm-fcitx
rthomsen/kcmsystemd
dbzhang800/kcoreaddons
SimonKagstrom/kcov
KanColleTool/kct-tool
KDAB/KDAB-Creator
klindworth/kde-baseapps
sanya-m/kde-touchpad-config
katakumpo/kde-workspace
openSUSE/kdebase-opensuse
deiv/kdeconnect-pkg
melvyn-sopacua/kdelibs
kolab-groupware/kdepim
kolab-groupware/kdepimlibs
KanoComputing/kdesk
mcencora/kdevcpprefactor
Gnurou/kdevelop
salamanderrake/KDevelop
mali/kdevplatform
kalandin/KDiamondStripped
robotology-playground/kdl_codyco
robotology-playground/kdl_format_io
Ignotus/kdots
KDAB/KDReports
KDAB/KDSoap
gnocuil/kea
albertnez/keep-your-color
keepassx/keepassx
danilovsergei/keepassx-gdrive
halobrewery/kegmeter
lazyrun/kenay
kpu/kenlm
ANLAB-KAIST/KENSv3
FrankBuss/kerberos
moldo-/Kevlar3D
kevoree/kevoree-cpp
staniek/kexi
Atom/keyboard-layout
InvictusInnovations/keyhotee
kflog-project/KFLog
nikolauska/KGE
Maxomann/kgEngine
Maxomann/kgEngine-2.0
legnaleurc/khopper
KiCAD/kicad-source-mirror
nicoboss/KickassCopy
brick-lang/kiln
ethz-asl/kindr
