Pinoccio/library-pinoccio
LibRaw/LibRaw
LibreCAD/LibreCAD
LibreCAD/LibreCAD_3
zn01wr/Librecraft
mer-packages/libresourceqt
libretro/libretro-3dengine
NationalAssociationOfRealtors/libRETS
lotem/librime
libRocket/libRocket
Wassasin/librusql
sric0880/libs4cocos2d-x
sailfish-sdk/libsailfishapp
sass/libsass
schwa-lab/libschwa
schwa-lab/libschwa-python
mkristofik/libsdl-demos
AMDmi3/libSDL2pp
ahorn/libse
fbergmann/libSEDML
segwayrmp/libsegwayrmp
molpopgen/libsequence
sierra-lang/libsierra
fish2000/libsiftfast
Distrotech/libsigcxx2
mer-packages/libsignon
p12tic/libsimdpp
rodrigoavalente/LibSimulation
sgh/libskype
nkming2/libsmartcarcpp
analogdevicesinc/libsmu
scipr-lab/libsnark
nilium/libsnowball
nemomobile/libsocialcache
dermesser/libsocket
JeffersonLab/libsolgem
jadesoul/libsoul
sourcey/libsourcey
libspatialindex/libspatialindex
grantbrown/libspatialSEIR
ComputationalRadiationPhysics/libSplash
statgen/libStatGen
JorgeAparicio/libstm32pp
openSUSE/libstorage
triblerteam/libswift
cnbuff410/Libsvm-androidjni
spencerimp/LibsvmAndroidClassification
ilpianista/libsystemd-qt
toffaletti/libten
mfontanini/libtins
halsafar/libtmx-parser
rakshasa/libtorrent
svn2github/libtorrent-1_0_x
arvidn/libtorrent-webui
TracingTools/libtrace
hanzz/libtransport
rescrv/libtreadstone
bittorrent/libutp
defunctzombie/libuv.js
gbeauchesne/libva
abduld/libwb
webOS-ports/libwebos-gui
kylehuff/libwebpg
linuxqq/libwebqq
Darksecond/libwindow
ethz-asl/libvisensor
LibreOffice/libvisio
usagi/libWRP-SQLite3
chetui/libvsf
kbinani/libvsq
BBN-Q/libx6
01org/libxcam
AchimTuran/LibXConvolver
polotek/libxmljs
xzero/libxzero
avakar/libyb
libyui/libyui
libyui/libyui-ncurses
libyui/libyui-qt
libyui/libyui-qt-pkg
nsf/libzbs
hpicgs/libzeug
ctabin/libzippp
zeromq/libzmq
openSUSE/libzypp
licq-im/licq
tortoiseq/liee
nstroustrup/lifespan
TimeCoder/LifeTime
eigengo/lift
lindahua/light-matrix
ksiazkowicz/lightbulb
kfindeisen/LightcurveMC
almindor/lighthouse
skywalker239/lightning
woodenshark/Lightpack
billybonks/LightRunner
cad-san/lightseek
lightspark/lightspark
priomsrb/lighttasks
