rgbdemo/rgbdemo
gpicchiarelli/rgbdpro
felixendres/rgbdslam_v2
ccny-ros-pkg/rgbdtools
flvi0/RHaPSODIES
Nocte-/rhea
MADAI/RHIC
Doxito/Ri-Core_Privado
ajtack/riak-cpp
spillerrec/RICcreator
death-droid/Rice-Video
tomfielden/RICO
ricochet-im/ricochet
madeso/ride
Riateche/ridual
reverbrain/rift
jimbo00000/RiftRay
jimbo00000/RiftSkeleton
RigsOfRods/rigs-of-rods
yutopp/rill
kvetak/RINA
eddelbuettel/rinside
jtalbot/riposte
blackberry/Ripple-Framework
ripple/rippled
ah450/RiSC-16-Simulator
ucb-bar/riscv-clang
ucb-bar/riscv-fesvr
ucb-bar/riscv-llvm
ElvishArtisan/rivendell
nandryshak/rl
dekalo64/Rline
eglaysher/rlvm
smithlabcode/rmap
bolandrm/rmb_multicopter
hjnilsson/rme
salilab/rmf
biotty/rmg
aduggan/rmi4utils
linse/RNAforester
zzj/RNASkim
fmichonneau/rncl
lvv/ro
pboechat/roadnetworkgenerator
weyrick/roadsend-php-raven
QuantumBytesInc/ROAL
jbmouret/robdyn
robidouille/robidouille
ElementalAlchemist/RoBoBo
mllofriu/robobulls2
robocomp/robocomp
Myzhar/RoboController
nubots/robocup
prakharjoshi/robocup-defence-darkterror
jauerb/robogen
paralect/robomongo
cal-roboops/roboops
roboptim/roboptim-capsule
roboptim/roboptim-core
roboptim/roboptim-core-plugin-ipopt
roboptim/roboptim-core-plugin-nag
roboptim/roboptim-core-python
roboptim/roboptim-retargeting
roboptim/roboptim-shared-tests
roboptim/roboptim-trajectory
robocyte/RoboStruct
FRC2994/Robot-2014
zhangdanyangg/Robot-In-Maze
mikeferguson/robot_calibration
cra-ros-pkg/robot_localization
ros/robot_model
EricSidorov/RobotController
asrob-uc3m/robotDevastation
asrob-uc3m/robotDevastation-robots
thijser/robotica-minor-5
nothingisbad/robotics-checkers
gabrielbaca/roboticsProject
Expertinos/robotino_ros
rowoflo/robotKin
ozt88/Robotopia
abbott221/robotRepo
krishauser/RobotSim
maxmcguire/rocket
FalconUA/Rocket-Barrage
FishingCactus/Rockete
mas-group/rockin-refbox
isamu/rocksdb-ruby
vladb38/rocksdb_protobuf
valmat/RocksServer
bisdn/rofl-core
neiled/rogue
kiroxas/Rogue_BOI_Style
Vegtam/Roguelike
t-sakashita/rokko
shailensobhee/roofline-plotter
jeremyhansen/rooksguide-cplusplus
tmbo/Roomplanner
ManyUniverseAna/RooMUHistos
root-mirror/root
bbannier/ROOT
