ethz-asl/kindr_ros
acm-uiuc/Kinect-Mapper
robotology/kinect-wrapper
MSOpenTech/KinectCommonBridge
mrogowski/KinectDemo
ThomasLengeling/KinectPV2
robbeofficial/KinectTouch
GromeTT/KinectTracker
jimbo00000/KinectWithOpenGL
robotology/kinectWrapper
seagate/kinetic-cpp-client
seagate/kinetic-cpp-examples
kineticsquid/kineticsquid
gelldur/Kino-Time-Tracker
crocdialer/KinskiGL
NathanDM/kipi-plugins
kipr/kiss
TheLastCylon/kiss-smpp
tanghus/kitchen-timer-qml
GroupDenseKitchen/KitchenOccupation
adei-kit/kitcube-tools
nucleic/kiwi
kmc-jp/Klang
HiFi-LoFi/KlangFalter
wavescholar/klMatrixCore
29jm/Kloggr-Qt
lilliemarck/kloss
klusta-team/klustakwik
jackalstomper/kmath
marekkokot/KMC
Kurento/kms-elements
juj/kNet
mbasaglia/Knotter
CombustibleLemonade/KnowledgeNet
knowthelist/knowthelist
knxd/knxd
yujinrobot/kobuki
yujinrobot/kobuki_core
hmatuschek/kochmorse
cisco-open-source/kodi
notspiff/kodi-cmake
xbmc/kodi-platform
kaazvaag/KODI-RK
steinwurf/kodo-c
steinwurf/kodo-c-bindings
steinwurf/kodo-cpp
steinwurf/kodo-ns3-examples
steinwurf/kodo-python
konserw/koferta
krig/koi
rnovacek/konkretcmpi
xbrukner/kontr-tests
negram/kopete_mrim
ufal/korektor
koRemoteRE/KoReRE
thieman/korhal
jzarl/kphotoalbum
credativ/kprinter4
kypeli/kQOAuth
bpiwowar/kqp
gareth-cross/kr_attitude_eskf
KumarRobotics/kr_utils
razyoba/kraken
auviitkgp/kraken_3.0
ianhinder/Kranc
krazey/KrayZMod
nasenbaer89/KRecipes2
krishauser/KrisLibrary
Chamawix/Krismoon
segfaultsourcery/krokar
zach-capalbo/Kromophone
AlexAUT/Kroniax
daemonmaker/krrtstar
alex-caelus/kryptan
alex-caelus/kryptan_android
kryptkoin/KryptKoin
adolby/Kryvos
komh/kscp
pkarasev3/kslice
Kst-plot/kst
ktechlab/ktechlab
jonathanpoelen/ktexteditor-multicursors
kvbits/ktxtool
lettis/Kubix
CentroEPiaggio/kuka-lwr
ace13/Kunlaboro
spersson/Kup
samsung/kv2streamer
tsujan/Kvantum
dkwasny/KwazCollections
dbzhang800/kwidgetsaddons
lmurray/kwin
mgottschlag/kwin-tiling
neubig/kytea
google/kythe
jmmv/kyua
osmehlik/l-systems-vis
fenix0x/lab1
richardbeare/LabelErodeDilate
laur4c/laberinto
