Blahord/Rabsg
peniblec/rac-kun
autosportlabs/RaceAnalyzer
raceintospace/raceintospace
leduyvu/RacerMouse
Schmalkoders/Racing-Manager-Game
carrotsrc/rackoonIO
TessaBarton/radcal
nutsforalmonds/RadChip
marazmista/radeon-profile
CryptoBubble/radioactivecoin
smithlabcode/radmeth
jonathan-beard/RaftLib
adrigm/RAGE
waddlesplash/ragingmidi
WPI-RAIL/rail_segmentation
amksperling/RailGunDuckies
petehague/RainfallMCMC
rwittek/RainStorm
Metaswitch/ralf
y-higuchi/ramcloud
YCAMInterlab/RAMDanceToolkit
boostorg/random
marijnkampf/Random-Photo-Screensaver
zhufangzhou/RandomForest
boostorg/range
ericniebler/range-v3
jakirkham/Rank_Filter
fuyasing/RankView
ignatz/rant
GilesBathgate/RapCAD
tim-janik/rapicorn
turinevgeny/rapid
emil-e/rapidcheck
doo/rapidjson
XelaRellum/rapidshell
stevewolter/rapidSTORM
RapidSVN/RapidSVN
evanw/rapt
KTH-RAS/ras_lab1
jasn/RASMUS
mysensors/Raspberry
sdrobotics101/raspberry-pi
jgcoded/RaspbOOP
atraber/RaspExt
bryan-m-hughes/raspi-i2c
kalectro/raspi_interface
RasPlex/rasplex-installer
ratcage/rat
rat-pac/rat-pac
boostorg/rational
freemancw/rationalcad
edvb54/ratium
Seneda/ratslam
truszkowski/raven-cpp
uw-biorobotics/raven2
sebhtml/ray
sebhtml/Ray-TestSuite
lewistg/ray_tracer
freme/raybeam
iodoom-gitorious/raynorpats-glsl_iodoom3
sebhtml/RayPlatform
DomNomNom/RayShader
nikolovp/RayTracedChessGame
lana-gull/raytracer
sora-M31/rayTracer
marczych/RayTracer
rasmith/RayTracerX
Razor-qt/razor-qt
Reetus/RazorRE
febeling/rb-libsvm
jorisv/RBDyn
code-mancers/rbkit-client
armstrtw/Rblpapi
Groogy/rbSFML
ALive-WoW/RC2
Ertinfagor/RCHome
ros2/rclcpp
TuftsRoboticsClub/rcmain
RcppCore/Rcpp
jjallaire/rcpp-gallery
Rcpp11/Rcpp11
Rcpp11/Rcpp14
romainfrancois/Rcpp98
RcppCore/RcppArmadillo
armstrtw/rcppbugs
RcppCore/RcppEigen
eddelbuettel/rcppgsl
thirdwing/RcppMLPACK
jjallaire/RcppParallel
eddelbuettel/rcppredis
eddelbuettel/rcppstreams
eddelbuettel/rcppziggurat
nichtich/RDF-NS
AGWA/rdiscd
reverbrain/react
CopernicaMarketingSoftware/REACT-CPP
DanielChappuis/reactphysics3d
readium/readium-sdk
hadley/readr
