dmlc/cxxnet
jarro2783/cxxopts
monsdar/CxxProf
OlafRadicke/cxxtools
menpo/cyassimp
cyberbitgame/cyberbitgame
chadwickj/Cybersonics103
cyclus/cycaless
cyclus/cycamore
OHDSI/Cyclops
cyclus/cyclus
tmm1/cycript
katyhuff/cycstub
katyhuff/cyder
samsung/cynara
worldforge/cyphesis
darrenmothersele/cyril
Cyvasse-Online/cyvasse-game
Hinogary/czelta
Ummon/D-LAN
ldionne/d2
dwbuiten/d2vsource
barcharcraz/d3dGame
vasily-knk/D3Digger
Bur0k/D45az
rhysd/Dachs
rug-compling/dact
chindit/dadabooks
hulkholden/daedalus
AMSUN-Berlin/daestruct
LSST/daf_base
LSST/daf_persistence
jevinskie/dagger
svalinn/DAGMC
DuFace/DailyProgrammer
nextgen-astrodata/DAL
tomhrr/dale
jnory/DALM
Anon0/dalvik
conanc2c/dangerous-headbutt
WonseokLee/danhobak
omcfadde/dante
bloer/daqman
Darkpeninsula/Darkcore
CryptoCoinLabs/darknetspace
LubosD/darling-dmg
wavii/darner
dartsim/dart
syntheticpp/dartruntime
dcesini/Darwin
darwinop-ens/darwin-op
BlueBrain/dash
pwstegman/DashcoinWalletGUI
PointCloudLibrary/data
fahadash/data-eater
typester/Data-MessagePack-Stream
mikedlowis/data-structures
chrzhang/Data-Structures-and-Algorithms
mntone/Data.Amf
strands-project/data_compression
RyersonFormulaRacing/Data_Logger_2013-2014
LibertaSoft/DatabaseAnime
DataBaseSystem/databaseManageSystem
DataMap13/DataMap
Jokeren/DataMining-gSpan
whywhom/DataMonitor
OpenWebGlobe/DataProcessing
dataseries/DataSeries
efferreiram/datastruct
egraldlo/datastructure
obihann/DataStructures
ORNL-CEES/DataTransferKit
boostorg/date_time
Alke-Games/Dauphine
kmike/DAWG
Deoxyribonucleic/dawn
DayZMod/DayZ
mudzereli/DayzEpochChernarus
scrumbee/DayzOverwatch-Server
Venthos/DayZRedux
dazeus/dazeus-core
AcumenDev/DB
zalando/db_agg
smurav/db36
openwebos/db8
vdorie/dbarts
mrts/dbc-cpp
jablonkai/dbFlow
wc-duck/dbgtools
tkonolige/dbignore
manudwarf/dbmaster
jmbjr/dbro
petergeoghegan/dbt5
mr-bo-jangles/DC-Mission-Template
Daniel-Cortez/DC_CMD
DC2012/DC2012
nknotts/dccl
fmihpc/dccrg
lessens/dccs
commontk/dcmjs
