vsoftco/qpp
QDeltaSoft/qradiopredict
gil9red/QRCodeGenerator
qreal/qreal
peterkomar/qrestclient
namelessvoid/qrwar
QSanguosha/QSanguosha
Mogara/QSanguosha-For-Hegemony
JorgeAparicio/qSerialTerm
LSST/qserv
hanzz/qsimkit
stanionascu/qsmart-tv
WarmongeR1/QSopherim
hicknhack-software/QSqlMigrator
lvklabs/QSsh
hbirchtree/qstreamsuite
Chilledheart/qt
Mendeley/Qt
tmyroadctfig/qt-4
saeschdivara/Qt-Arango-DB-Driver
zdenop/qt-box-editor
xtuple/qt-client
mbasaglia/Qt-Color-Picker
nemomobile/qt-components
marxoft/qt-components-hildon
qtproject/qt-creator
ostash/qt-creator-i18n-uk
mloskot/qt-creator-plugin-boostbuild
detrout/qt-gstreamer
0003088/qt-gui
ostash/qt-i18n-uk
jinchizhong/qt-kso-integration
qtproject/qt-labs-qbs
qtproject/qt-labs-qtwebengine
qtproject/qt-labs-weather-app
qtproject/qt-mobility
robertknight/qt-mustache
jimxl/qt-onvif-client
johnmarinelli/qt-projects
mik9/qt-radio-t-client
robertknight/qt-signal-tools
mhogomchungu/qt-update-notifier
saeschdivara/Qt-Webframework
sergey-dryabzhinsky/qt-webkit-kiosk
webOS-ports/qt-webos-plugin
galloguille/qt-vgi
F1ash/qt-virt-manager
pivonroll/Qt_Creator
lawrence-iviani/QT_tone_generator
chdinh/qt3d
isis-project/qt4
mer-hybris/qt5-qpa-hwcomposer-plugin
msorvig/qt5-qtdeclarative-nacl
webOS-ports/qt5-webos-plugin
qtproject/qtactiveqt
triochi/QtAdb
realnc/qtads
OlivierDelbeke/qtaims
chloerei/qtalk
qtproject/qtandroidextras
nemomobile/qtaround
wang-bin/QtAV
BaroboRobotics/QtBaroboLink
jfaust/qtbase
mer-packages/qtbase-eglfsvb
ryanmelt/qtbindings
JimboMonkey/QtBlackjack
OneMoreGres/qtc-cppcheck
OneMoreGres/qtc-gtest
mveinot/QtCBM
nemomobile/qtcontacts-sqlite
loaden/qtcreator
Groterik/qtcreator-dlangeditor
Groterik/qtcreator-dubmanager
lexxmark/QtCreator-JsExtensions-Plugin
GoldMax/QtCreatorD
fire/QtCreatorSourceCodeAccess
QtCurve/qtcurve-qt4
aabadie/qtdcm
jfaust/qtdeclarative
qtproject/qtdocgallery
gorthauer/QtDockTile
lycis/QtDropbox
markusmarx/qtejdb
rkkautsar/QTempatDuduk
Distrotech/qtenginio
martinscheffler/qtentity
qterminal/qterminal
qterminal/qtermwidget
GMaxera/QtFacebook
qtproject/qtfeedback
Stigaard/QtGigE
mer-packages/qtgraphicaleffects
nemomobile/qtgrilo
JPNaude/Qtilities
mer-packages/qtjsbackend
frankosterfeld/qtkeychain
pezy/QtLab
mer-packages/qtlocation
dbzhang800/QtMail
