jazzycamel/ws28128-rpi
grodansparadis/vscp_software
torognes/vsearch
zhouyan/vSMC
snip89/wsnsim-postprocessor
zpp0/wsnsim-preprocessor
vovoid/vsxu
atks/vt
panzi/VTFLib
Kitware/VTK
johnkit/vtk-dev
dgobbi/vtk-dicom
ufz-vislab/VtkFbxConverter
opengeoscience/vtkMap
ASTRO-BO/WTOOLS
wStockhausen/wtsTCSAM2015
Lexicality/Wulf2012
jfoote/vulture
hjmjohnson/vv
hcs64/ww2ogg
maxmods/wx.mod
antonvw/wxExtension
caioc2/vxl
mrceresa/vxl_dev
wxLauncher/wxlauncher
andrejv/wxmaxima
joeferner/wxNode
TongG/wxNote
wxphp/wxphp
adrianer/wxPython
moneymanagerex/wxSqlitePlus
wxWidgets/wxWidgets
vdm113/wxWidgets-ICC-patch
vyos/vyatta-cfg
polybassa/WyLight
mrft/Wyphon
LordKaT/Wyrmwick
01org/wysiwidi
robotology/wysiwyd
Subsentient/wz2100legacy
jrk-/x-choyce
benrussell/x-httpd
Microsoft/X-Mem
eightnoteight/x-thesaurus
xzero/x0
atcsecure/X11COIN
videolan/x265
juriad/X2C
godexsoft/x2d
rhcad/x3c
eschkufz/x64asm
logicworldzju/X86Emulator
mkovacs/xacto2d
xapian/xapian
endlessm/xapian-glib
humboldt-xie/xb
xbianonpi/xbian-sources-xbmc
elmore87/xbmc
Anoth3rone/XBMC
Red-F/xbmc-addon-fortherecord
afedchin/xbmc-addon-iptvsimple
jdembski/xbmc-addon-vuplus
pipelka/xbmc-addon-xvdr
lewy20041/xbmc-gotham-libmedia-lewy
opdenkamp/xbmc-pvr-addons
alanwww1/xbmc-txupdate
Grumbel/xboxdrv
yllekkram/xbpl4kyn
herumi/xbyak
HaikuArchives/XCalc
sanya-m/xcb-cpp
jimbraun/XCDF
mattstevens/xcode-googletest
jukart/XCSoar
XCSoar/XCSoar-TE
bisdn/xdpd
xdrpp/xdrpp
benvanik/Xenia
jorgeazevedo/xenomai-lab
jorgeazevedo/xenomai-lab-oscilloscope
gottcode/xfce4-whiskermenu-plugin
tqchen/xgboost
GPU-correlators/xGPU
phScholz/xiaStarter
LiquidHelium/Xigua
NextRPG/Xihad
tias/xinput_calibrator
ccbrown/xiv-sim
tmkk/XLDFdkAacOutput
rpav/xleapmouse
skynowa/xLib
smeighan/xLights
crosslink/xlink
X39/XMedSys1
lubyk/xml
rafalrusin/xmlbeansxx
vslavik/xmlwrapp
netz39/xmpp_space_control
xoreos/xoreos
archshift/xorer
