ahoarau/m3core
kermado/M3D
davidhouchin/m7engine
noncepool/m7m-cpuminer-v2
TimSimpson/Macaroni
macaw-movies/macaw-movies
rantonels/macchina
bytemaster/mace
cebix/macemu
macgitver/macgitver
macgitver/MacGitverModules
solodon4/Mach7
strahlex/Machineface
gueei/MACRB
nhaarman/macs2
MarcW2345/madn
m-a-d-n-e-s-s/madness
m-a-d-n-e-s-s/madness-seprep
ikegami-yukino/madoka-python
jjuiddong/MadSoccer
furylynx/MAE
RyanYoung25/maestor
jeffsegall/maestro
numediart/MAGE
mage/mage-sdk-cpp-cocos2dx
TwoOfDiamonds/Mage_Dodge
mageec/mageec-clang
mageec/mageec-llvm
dmitriyha/Magic-Dungeon-Epidemic
LiddleDiddle/Magical-Tower
isorg/MagicPad
Elephly/MagicRealm
mosra/magnum
mosra/magnum-plugins
c-abird/magnum.fe
rainers/mago
salsita/Magpie
ieatlint/MagRead
Dev-Ghost/Mahdi_device_sony_taoshan
keithw/mahimahi
Sheba/MAI_SCADA
maidsafe/MaidSafe
maidsafe/MaidSafe-API
maidsafe/MaidSafe-Common
maidsafe/MaidSafe-DHT
maidsafe/MaidSafe-Drive
maidsafe/MaidSafe-Encrypt
maidsafe/MaidSafe-Launcher
maidsafe/MaidSafe-Network-Filesystem
maidsafe/MaidSafe-Passport
maidsafe/MaidSafe-RUDP
maidsafe/MaidSafe-Vault
maidsafe/MaidSafe-Vault-Manager
MailCore/mailcore2
elehack/mailtools
naelstrof/maim
cs2103aug2014-t09-1c/main
karakozov/mainstream
utkarshSiwach/Major
cryptobiu/MaliciousOTExtension
PMO-Ecluse/mallarmeGenerateur3D
ComputationalRadiationPhysics/mallocMC
alekmaul/mame4all
MammothCoin/MammothCoin
mjendruk/mammut
mana/mana
sumedhghaisas/Manak
mana/manamobile
ManaPlus/ManaPlus
mana/manaserv
ppettersson/ManaShell
heyx3/Manbil
buddhi1980/mandelbulber2
venam/MangaDL--CPP-GUI-Version-
volund/mango
black-square/mango2d
cmangos/mangos-classic
LeFroid/mangos-one
cmangos/mangos-tbc
cmangos/mangos-wotlk
kero99/mangos_old
mangosR2/mangos3
mangosR2/mangos4
manjaro/manjaro-settings-manager
SebastianNiemann/Mantella
mantidproject/mantid
project8/mantis
ManyClaw/ManyClaw
gmarkall/manycore_form_compiler
dogshoes/map-n-zap
mapbox/mapbox-gl-native
m0r13/mapcrafter
m1ch1/mapkeeper
jieyu/maple
auscoin/maples
jube/mapmaker
mapmapteam/mapmap
nemomobile/mapplauncherd
Hextremist/mapredo
wangkuiyi/mapreduce-lite
