SeniorProjects-CS-Illinois/USGS2012
igemsoftware/USTC-Software2013
lsentis/uta-wbc-dreamer
yak1ex/UTF8-Win32API
leonidia/util
PADrend/Util
gbl08ma/utilities
arke-industries/Utilities
boostorg/utility
orocos-toolchain/utilmm
kennytm/utils
tbepler/utils-cpp
UTAwesome/UTLauncher
AndreaOrru/Utopia
ctraabe/UTPTAM
arvidn/utrack
johkelly/UtsuhoVania
utsushi/utsushi
saleyn/utxx
boostorg/uuid
tazzledazzle/UW-CSS
rahulroot/Uva
Ra1nWarden/UVa-Online-Judge
ackoroa/UVa-Solutions
jofroid/UVProfiler
simonask/w
miniBloq/v0.82
Arathi/W3Objects
chiahsun/v4abs
maxbader/v4r_gazebo
v4r-tuwien/v4r_ros
svn2github/v8
jeroenooms/V8
crosswalk-project/v8-crosswalk
v8/v8-git-mirror
jensl/v8-jsshell
node-inspector/v8-profiler
thlorenz/v8-profiling
profanum429/v800_downloader
preillyme/v8js
paul99/v8m-rb
pmed/v8pp
andrewlow/v8z
Filosoft/vabamorf
Vacuum-IM/vacuum-im
tanakh/waf-unittest
WagicProject/wagic
chukong/WagonWar
wahjam/wahjam
roba269/wai
KevinSupertramp/WakBox
MichaelRFairhurst/wake-compiler
MultiSight/vakit
KCL-Planning/VAL
tudelft3d/val3dity
WaliDev/WALi-OpenNWA
tristanpenman/valijson
kimmoli/valuelogger
Bertram25/ValyriaTear
richard-evans/vampire
retep998/Vana
Jeaye/vanity
keerola/vantaanjoki
ufna/VaOcean
HomeOfVapourSynthEvolution/VapourSynth-DeLogo
VFR-maniac/VapourSynth-FFT3DFilter
dubhater/vapoursynth-mvtools
HomeOfVapourSynthEvolution/VapourSynth-TDeintMod
VFR-maniac/VapourSynth-TNLMeans
War3Source/War3Source
Ilddor/Warcaby
worldforge/varconf
ros-planning/warehouse_ros
kaosphere/Warhole
elliotgoodrich/VariadicTemplateAlgorithms
boostorg/variant
VariationalRegistration/VariationalRegistration
pizzard/warlight-starterbot
yamamushi/warpdriveoverload
wilseypa/warped
krofna/Warrior-of-Dreamworld
Databean/warsofcatan
akkartik/wart
Warzone2100/warzone2100
CBA2011/WASABIQtGui
mavam/vast
Rusk85/wastelanda23_addins
msakuta/VastSpace
Vatsinator/Vatsinator
nemomobile/vault
vimofthevine/Vaultaire
boostorg/wave
heejungshim/WaveQTL
nighelles/Waves
nmehost/waxe
nmehost/waxe-works
01org/wayland-fits
NilsBrause/waylandpp
contactless/wb-homa-drivers
EmperorArthur/VBA-M
