Softmotions/ejdb-node
jitrc/eklavya-ros-pkg
ekrona/ekrona
Ded-Mozila/Elasticity
mstaring/elastix
Devianttwo/Electric
scottdraves/electricsheep
elemental/Elemental
zhangce/elementary
bitsofmymind/elements
maxdeliso/elevatorSim
basho/eleveldb
uliwitness/eleven
serge1/ELFIO
efcs/elib
reverbrain/elliptics-fastcgi-old
BinaryBrain/Elodie-Dream
ElunaLuaEngine/ElunaMangosClassic
ElunaLuaEngine/ElunaMangosTbc
ElunaLuaEngine/ElunaMangosWotlk
ElunaLuaEngine/ElunaTrinityCata
ElunaLuaEngine/ElunaTrinityWotlk
consultit/Ely
siemens/embb
worldforge/ember
AlexanderMladenov/EmbreeRT
etkirsch/EMC
kbiElude/Emerald
SimonKagstrom/emilpro
eventmusicmachine/emm
sahilpparmar/emmCompiler
luca-m/emotime
MoochMcGee/Emotionless
craberger/EmptyHeaded
maniac103/ems-collector
yxl/emscripten-calligra-mobile
kripken/emscripten-fastcomp-clang
lukestanley/emscripten_shedskin_setup
malcom2073/emstune
slava77/emu
andrej-fischer/EMu
Wouter1/EMU-driver
Aloshi/EmulationStation
vgough/encfs
egocarib/EnchantingAwakened
gvozdarev-sa/encLoader
MST-MRDT/End-Effectors
roig/Endavant
boostorg/endian
EnergyCoin/energycoin
NREL/EnergyPlus
markummitchell/engauge6
martinmoene/EngFormat-Cpp
Critical-Hit/engine
happanda/Engine
Vbitz/Engine2D
mosheshlomo/Engineering-Project-2014-15
enGits/engrid
enigma-dev/enigma-dev
bbdevbe/eniv
enjalot/EnjaParticles
JordiOrlando/EnLiST-Rover
claesenm/EnsembleSVM
timmb/EnsembleVisualization
cdglove/entity
alecthomas/entityx
dimitar-asenov/Envision
nojhan/eodev
mojaves/Eon3D
ucsbdeepspace/EORE
lee-houghton/eos
wyolum/EPD
ecell/epdp
ALSchwalm/Ephemeris
larspensjo/ephenation-client
boiarino17/epics
kasemir/EPICSV4Sandbox
Adapteva/epiphany-libs
Adapteva/epiphany-sdk
squshy7/epoch_server_files
Jojendersie/Epsilon-Intersection
bakwc/Epsilon5
Kangz/epyx
timflutre/eqtlbma
Eyescale/Equalizer
saleyn/erlexec
k2informatics/erloci
VanyaDNDZ/ErlSybase
leo-project/erocksdb
TTimo/es_core
alienjon/Escape-
brico-labs/Escornabot
EScript/EScript
esrille/escudo
nnarain/ESEIntercom
g40/esj
sleemanj/ESP8266_Simple
ekstrand/ESP8266wifi
rhdunn/espeak
espressopp/espressopp
