Matoking/Filetug
svkreml/Filework
basvodde/filezilla
CarVac/filmulator-gui
Witek902/FilterDesigner
ros/filters
Witek-/filtracja_Warszawa
cbrant/final_project
introlab/find-object
konnibe/FindIt_pi
findMF/findMFBase
findMF/findMFHCS
romanandreev/FindMin
hrobeers/finFoil
kakitone/finishingTool
yxl/Fire-IE
firebreath/FireBreath
yxl/Firefox-Muter
broadinstitute/firepony
codebutler/firesheep
firepick1/FireSight
mempko/firestr
sauravag/FIRM-OMPL
ms705/firmament
spark/firmware
reprapbcn/Firmwares
lolisa/first_order_logic_prover
mcostalba/FishCooking
greut/fisheye
vasole/fisx
pfultz2/Fit
adiesner/Fit2Tcx
admsyn/FITC-2014-slides
scheibo/fitparse
wojdyr/fityk
sunwaylive/five-minutes-algorithm
fix8/fix8
bgottula/fixed
filtering-library/fl
pmiddend/flake
LittleCodingFox/Flaming-Torch-Framework
uricamic/flandmark
mariusmuja/flann
gree/flare
clintbellanger/flare-engine
dorkster/flare-engine-next
clintbellanger/flare-game
SAPikachu/flash3kyuu_deband
patwonder/FlashGestures
cms-analysis/flashgg
icoming/FlashGraph
gabraham/flashpca
gauss1314/flashtool
FahmiA/Flat-World
keithmendozasr/flat8
FoxelFox/Flatedge
BobGneu/Flathead
flax-lang/flax
requimrar/flax-lang
furylynx/flcolorlines
michael-lehn/FLENS
Expander/FlexibleSUSY
Grumbel/flexlay
apoloval/flightvars
Dhwty/flist-messenger
hellno/FloatSat
FloodProject/flood
krattai/flosh
iamsergio/flow-pomodoro
flow123d/flow123d
ajorians/FlowdockAPI
ajorians/FlowdockBot
copyme/flower
Gebhard-Stopper/FlowIllustrator
ICGog/Flowlessly
cpi-cecko/floyd
deech/fltkhs
blitzprog/flua
Flusspferd/flusspferd
thekidcoin/fluttercoin
fluxbox/fluxbox
pavel-pimenov/flylinkdc-r5xx
FlynnOS/FlynnOS-WM
flysight/flysight-viewer-qt
girke-lab/fmcsR
xqwen/fmeqtl
L3K0V/fmi-commandline-utilities
L3K0V/fmi-course-game
yuxip/fms
kwan0xfff/fmtk
LBNE/fnal-art
herndon/FNALComp
LBNE/FNALCore
initcrash/fnpp
tvwerkhoven/FOAM
davidsblom/FOAM-FSI
gottcode/focuswriter
Fody/Fody
blue-shell/folderview
HaikuArchives/FontBoy
