fluxio/node-cgal
janez87/node-crf
waveto/node-crypto
jiangmiao/node-curl
nuodb/node-db-nuodb
Shouqun/node-dbus
creatale/node-dv
xdenser/node-firebird-libfbclient
smerchek/node-fit
mapbox/node-fontnik
naturalatlas/node-gdal
wezm/node-genx
kashif/node-geos
libgit2/node-gitteh
lwille/node-gphoto2
karlwestin/node-gumbo-parser
ibmdb/node-ibm_db
mash/node-imagemagick-native
TooTallNate/node-iOS
joeferner/node-java
visionmedia/node-jscoverage
waTeim/node-julia
Atom/node-keytar
TooTallNate/node-lame
evanlucas/node-launchctl
jeremycx/node-LDAP
creationix/node-leveldb
rvagg/node-leveldown
no2chem/node-libfprint
kubohiroya/node-libpafe
Floby/node-libspotify
rvagg/node-libssh
DirtyHairy/node-libxl
Venemo/node-lmdb
mapbox/node-mapbox-gl-native
pagameba/node-mapserver
mscdex/node-mariasql
bendi/node-mpg123n
pgriess/node-msgpack
zcbenz/node-native-mate
vroad/node-ndll
WigWagCo/node-netkit
Atom/node-oniguruma
ioweb-fr/node-opencl
peterbraden/node-opencv
jperkin/node-openzwave
joeferner/node-oracle
osmcode/node-osmium
mscdex/node-pcre
jokesterfr/node-pcsc
santigimeno/node-pcsclite
LiveTex/Node-Pg
Sannis/node-pinba
xiangshouding/node-pngquant-native
melor/node-posix
electronifie/node-quickfix
ksperis/node-rados
Planeshifter/node-Rstats
walling/node-rsvg
helloIAmPau/node-rtc
mapbox/node-s2
yjwong/node-sane
creationix/node-sdl
voodootikigod/node-serialport
joeferner/node-serialport2
wdavidw/node-sigar
stephenmathieson/node-sophist
stephenmathieson/node-sparkey
Atom/node-spellchecker
FrontierPsychiatrist/node-spotify
node-xmpp/node-stringprep
bengfarrell/node-sweatintotheweb
nikhilm/node-taglib
KABA-CCEAC/node-usb-detection
rogerwang/node-webkit
kapouer/node-webkitgtk
js-platform/node-webrtc
TooTallNate/node-vorbis
mapbox/node-zipfile
pierreinglebert/node-zopfli
ncb000gt/node.bcrypt.js
d5/node.native
trollixx/node.qml
rubenwardy/NodeBoxEditor
Cloudname/nodee
NodeFly/nodefly-uvmon
nathanjsweet/nodehun
yanyiwu/nodejieba
amitkr/nodejs-db-informix
ros/nodelet_core
NodeRT/NodeRT
quarkslab/nodescan
abbr/NodeSSPI
ThoNohT/NohBoard
ervanalb/noise
noisemodeler/noisemodeler
NoLifeDev/NoLifeStory
nomacs/nomacs
colinhect/Nominal
i8degrees/nomlib
