fador/mineserver
spring/mingwlibs
mark-chromium/mini_chromium
STEllAR-GROUP/miniapps
GustavPersson/miniature-dubstep
bananu7/MiniCraft
sparkfun/MiniGen
fmenozzi/miniMAT
niklasso/minisat
glennw/miniservo-gtk
dropbox/miniutf
ethz-asl/minkindr
neomilium/minotor
lbruder/MinScm
PADrend/MinSG
materials/mint
mintcoinproject/mintcoin
GearChicken/MINX
shendurelab/MIPGEN
YutaMatsumoto/MIPSc
ncos/mipt-airdrone
makerbot/Miracle-Grue
miranda-ng/miranda-ng
MTG/miredu
hhutz/Miro
bjpirt/Mirobot-arduino
sgss/mirror-googletest
pauldardeau/misere
Menetekel/Missionfile_Chernarus
MistCore/MistCore
ehebrard/Mistral-2.0
DDVTECH/mistserver
MistyRTAW/MistyRTAW
ForNeVeR/mithgolizer
mit-nlp/MITIE
MITK/MITK
dimatteo/MitMonoJet
vianamp/MitoGraph
carlosduelo/mivt
skji/miwu
omnetpp/mixim
jeromerousselot/mixim-uwb
kms1837/mixSlime
mixxxdj/mixxx
freundlich/mizuiro
fysiskhund/mjEngineCPP
valhalla/mjolnir
chiku/mjwm
mer-packages/mkcal
pasnox/mks-ng
katyhuff/MktDrivenInst
mbunkus/mkvtoolnix
Ancurio/mkxp
pzduniak/ml_bcrypt
lissom/mlightning
nemomobile/mlite
zschoche/mlog
mlpack/mlpack
hemmer/mlrVST
bmerry/mlsgpu
meshmixer/mm-api
vrozen/MM-Lib
MUME/MMapper
fsecilia/mmc
hkrn/MMDAI
LORDofDOOM/MMOCore
swganh/mmoserver
ratschlab/mmr
mackorone/mms
mne-tools/mne-cpp
zahybnaya/mnk
svalinn/moab_tools
anlumo/moai-fmoddesigner
aaquino3/Moardots
Mobots/mobots
PositronicsLab/Moby
Horrowind/mockup
portalmod/mod-distortion
portalmod/mod-utilities
Orange-OpenSource/mod_dup
jgeudens/ModbusScope
xtuml/models
merijntestroote/modern-openZWave
NVlabs/moderngpu
yabuta/modifications
MrEricSir/Modipulate
thelink2012/modloader
Olster/ModServer
mesos/modules
arturocepeda/Modus
NexusTools/MOE
racklin/moedict-desktop
tgreener/MOG1-GameServer
m-ou-se/moggle
tomthorogood/Mogu
edward-murrell/mogvert
Rhoana/Mojo
janvc/molconv
ch3m/moldynamics
janucaria/molphene
