rug-compling/alpinocorpus
ALPSCore/ALPSCore
tejainece/alr_tstgen
ishigu/altis
unixpickle/alux
vinniefalco/Amalgamate
lonski/amarlon
dschmidt/amarok
phalgun/amarok-nepomuk
AntiMoron/aMazing
pkambadu/AMD
masimun/AMFBach
ddemidov/amgcl
tue-robotics/amigo_whole_body_controller
kripken/ammo.js
smithlabcode/amordad
evilrix/amp
krafczyk/AMS
blablack/ams-lv2
lordoffox/amsg
nixxcode/amsynth
alliedmodders/amtl
Ni3znajomy/AMXBans_amx
alanschlindvein/Anahy3
unixpickle/analloc2
BristolTopGroup/AnalysisSoftware
ekenn003/AnalysisTool
TopPairPlusGamma/AnalysisTools
duartej/AnalysisVH
JeffersonLab/analyzer
AnanasAssembler/AnanasAssembler
unixpickle/anarch
iliis/Anathea
miguelmartin75/anax
KellyJDavis/Andrews-Curtis
rong1129/android-binder-ipc
pkirchhofer/android-frameworks-native
mozilla-b2g/android-hardware_legacy
litl/android-leveldb
ismaell/android-qt5-qtbase
NativeScript/android-runtime
CryptoRepairCrew/Android-Token-V2
DirtyUnicorns/android_art
codewalkerster/android_dalvik
Shkerzy/android_device_alcatel_brandy
thesawolf/android_device_allwinner_ssa2
ShinyROM/android_device_asus_flo
Quarx2k/android_device_asus_pf500kl
bq-rk3066/android_device_bq_rockchip-common
giveen/android_device_dell_streak7
Evervolv/android_device_generic_goldfish
MoKee/android_device_htc_dlx
Evervolv/android_device_htc_inc
omnirom/android_device_htc_m7-common
alquez/android_device_htc_marvel
rallapag/android_device_htc_msm7x27-common
sachinthomaspj/android_device_htc_pico
lirokoa/android_device_htc_pico_ics
jmztaylor/android_device_htc_primoc
albru123/android_device_htc_protou
szezso/android_device_htc_vivo
joaquimorg/android_device_huawei_u8510
Dazzozo/android_device_huawei_u8815
Dazzozo/android_device_huawei_u8833
AOSPA-legacy/android_device_lge_g3-common
TeamPlaceholder/android_device_lge_gee-common
g3tsum/android_device_lge_geeb
robkingalex/android_device_lge_geehrc
g3tsum/android_device_lge_geespr
DirtyUnicorns/android_device_lge_hammerhead
CyanogenMod/android_device_lge_hammerheadcaf
VentureROM-L/android_device_lge_mako
PecanCM/android_device_lge_p350
jstotero/android_device_lge_p690
ChiefzReloaded/android_device_lge_startablet
wingrime/android_device_lge_swift
SVMP/android_device_mitre_svmp
Team-Hydra/android_device_moto_shamu
Schischu/android_device_moto_wingray
CyanogenMod/android_device_motorola_condor
TEAM-Gummy/android_device_motorola_moto_msm8960
razrqcom-dev-team/android_device_motorola_qcom-common
mydongistiny/android_device_motorola_shamu
k2wlxda/android_device_motorola_titan
niadam/android_device_notionink_adam_common
NamelessRom/android_device_oppo_find7
TEAM-Gummy/android_device_oppo_msm8974-common
omnirom/android_device_samsung_aries-common
androidarmv6/android_device_samsung_bcm21553-common
CyanMobile/android_device_samsung_beni_cyanmobile
CyanMobile/android_device_samsung_cooper_cyanmobile
TeamGalaxyR/android_device_samsung_galaxyr
TEAM-Gummy/android_device_samsung_hlte
omnirom/android_device_samsung_i9100
The-Covenant/android_device_samsung_i927
sakuraba001/android_device_samsung_js01lte-common
playfulgod/android_device_samsung_klte
solk2/android_device_samsung_ks01lte
AOSPA/android_device_samsung_manta
TheWhisp/android_device_samsung_msm7x27-common
