wesbarnett/libgmxcpp
bmstu-rk6/libgod
mblum/libgp
groovenauts/libgss_cocos2dx_sample
berenm/libgtulu
EmoryUniversity/libhadoopgis
mapr/libhbase
PivotalRD/libhdfs3
macgitver/libHeaven
furious-luke/libhpc
H-uru/libhsplasma
etr/libhttpserver
svn2github/libicu
nehmeier/libieeep1788
TheTorProject/libight
libigl/libigl
shuttie/libimghash
evaleev/libint
Naftoreiclag/Libirid
plenluno/libj
lukeweber/libjingle-override
cinemast/libjson-rpc-cpp
adobe-research/libkafka
ibsh/libKeyFinder
mysmartgrid/libklio
google/libkml
gumdal/libkml-pointinpolygon
kolibre/libkolibre-amis
kolibre/libkolibre-clientcore
kolibre/libkolibre-narrator
kolibre/libkolibre-player
kolibre/libkolibre-xmlreader
kipr/libkovan
libLAS/libLAS
EasyRPG/liblcf
quarkslab/libleeloo
jonstewart/liblightgrep
cjlin1/liblinear
WrinklyNinja/libloadorder
islog/liblogicalaccess
lubosz/liblub
macgitver/libMacGitverCore
ssfrr/libmanta
yandex/libmastermind
vilvo/libmatcher
khaledhosny/libmathview
nutils/libmatrix
Matroska-Org/libmatroska
gt1/libmaus
sadhen/libmdcpp
DDMAL/libmei
Metaswitch/libmemcached-upstream
nemomobile/libmlocale
Konstanty/libmodplug
slayoo/libmpdataxx
psteinb/libmultiviewnative
mumble-voip/libmumble
metabrainz/libmusicbrainz
jbboehr/libmustache
gpodder/libmygpo-qt
f825f5242ed81a32cd04e5269665f40a/libmyolinux
ethz-asl/libnabo
jbeezley/libncpcolor
nemomobile/libngf-qt
plenluno/libnode
FGRE/libnpa
FGRE/libnpengine
FGRE/libnpengine-new
craflin/libnstd
sirikata/liboauthcpp
loldevs/libOL
echa/libopenframeworks
osmcode/libosmium
mjmarin/libpabod
coderdj/libpbf
evilsocket/libpe
googlei18n/libphonenumber
epico/libpinyin
ethz-asl/libpointmatcher
pololu/libpololu-avr
aldebaran/libport
XenonofArcticus/libPRC
wanduow/libprotoident
vinzenz/libpypa
petersimonsson/libqatemcontrol
andrew-pa/libqeg
andy-campbell/libqgit2
GillesDebunne/libQGLViewer
aldebaran/libqi
nemomobile/libqofono
pcolby/libqtaws
librehat/libqtshadowsocks
nemomobile/libqtsparql
lxde/libqtxdg
longxiang-wang/libra
rdnelson/Libra
m-lab/libraries
reefangel/Libraries
pilkch/library
GeneticAlgorithmsConference/Library
