greearb/xorp.ct
hills/xosview
xournalpp/xournalpp
samstyle/Xpeccy
TheBuzzSaw/XPG
XPIR-team/XPIR
XPIRe-team/XPIRe
boostorg/xpressive
kelvinh/xproxy
OpenXRay/xray-16
ljanyst/xrdclient
xrootd/xrootd
v3l0c1r4pt0r/xSDM
meeloo/xspray
nicholasrees/xspress3
cmbi/xssp
xushvai/xsvrd
zfalls/XtalOpt
Kolyunya/xtd
dmarce1/xtree
chrkl/xtreemfs
JeremyAnsel/xwa_ddraw_d3d11
mandraWorks/xWebProcessor
jeeb/xy-vsfilter
Cyberbeing/xy-VSFilter
wojdyr/xylib
xyzzy-022/xyzzy
Yaafe/Yaafe
raphendyr/yaal
0x1A/yabs
Orange-OpenSource/YACassandraPDO
Yad-Studio/YAD-Studio
lethosor/yadc-plugin
F0x06/yafdb-validate
dezgeg/yagb
santa01/yage
sudar/Yahoo_LDA
cmouse/yahttp
italiancpp/yahtzee
italiancpp/yahtzee-cpp
panzi/Yakuake
apronchenkov/yalog
tyfkda/yalp
slightair/yamiHikariGame
nebirhos/yaml-cpp
unnonouno/yamlcast
sarum9in/yandex_contest_system
sy2517510/YangSteven_CIS17C_48596
ADKstudyGroupTokyo/Yaoadk
Noxalus/YAPOG
coin-or/yaposib
agamez/yappari
apaikan/yarp-armarx
robotology-playground/yarp-wholebodyinterface
niXman/yas
yast/yast-control-center
yast/yast-core
yast/yast-pkg-bindings
yast/yast-snapper
yast/yast-storage
yast/yast-ycp-ui-bindings
jorgen/yat
shimaore/yate
vnaydionov/yb-orm
ybcoin/ybcoin
robotology/ycm
Valloric/ycmd
sekiguchi-nagisa/ydsh
rkuchumov/YetAnotherTagEditor
seninds/yeti
linyvxiang/yfs-class
ghilbut/ygg
yiptool/yip
smspillaz/yiqi
Alir3z4/yoDownet
kedebug/yohub
rodstrom/yomibubble
iSECPartners/yontma
TheGreekBrit/YoshiDis
youbot/youbot-ros-pkg
Valloric/YouCompleteMe
remap/YouTubeTOP
cybozu/yrmcds
Y-Less/YSI-Includes
Yubico/yubikey-personalization-gui
yujinrobot/yujin_ocs
YukinoDB/YukinoDB
Z3Prover/z3
ptcryan/z80due
smithlabcode/zagros
kolab-groupware/zanshin
naazgull/zapata
wnt-zhp/zarlock-cpp
zacaj/zatcap
zbackup/zbackup
delaere/zbb_louvain
sailzeng/zcelib
Panaetius/ZCG_A3Wasteland_Altis
rheit/zdoom
zealdocs/zeal
