biometrics/likely
sparkfun/LilyPad_MP3_Player
lilypond/lilypond
thSoft/lilypond-hu
esrf-bliss/Lima
esrf-bliss/Lima-camera-basler
esrf-bliss/Lima-tango
cwabbott0/lima_compiler
limelight-stream/limelight-android
ThirteenAG/limit_adjuster_gta3vcsa
PMBio/limix
sialan-labs/limoo
christopherpoole/linac
hrhill/linalg
TeamJB/linaro_hardware_qcom_camera
zapta/linbus
mindastray/lincxx
d-meiser/lindblad
marssaxman/lindi
loikled/linespace
linjam/linjam
ppknap/link
pfultz2/Linq
timothy-shields/linq-cpp
allan-simon/linthesia
ERNICommunity/lintilla-embedded
veltzer/linuxapi
linuxbox2/linuxbox-ceph
linuxmuster/linuxmuster-linbo
socam/lipstick
socam/lipstick-socam
objectcomputing/liquibook
xenris/liquid-wars-android
Dev-Ghost/Liquid_device_sony_taoshan
sumotoy/LiquidCrystalNewV2
google/liquidfun
ElricleNecro/LISA
Manuzor/LispCpp
stamhe/litecoin
visualfc/liteide
flareguner/litetran
GSA05/Lithium
Happy-Ferret/Little-Paw
karepker/little-tsp
runrev/livecode
livegrep/livegrep
ua-i2cat/liveMediaStreamer
go3k/LiveRefresh
ageric/livestatus
BlueBrain/Livre
LK8000/LK8000
llvm-mirror/lld
chapuni/lldb
DependableSystemsLab/LLFI
fabianschuiki/llhd
0x7CFE/llst
dacumos/LLTM1
loganchien/llvm
speziale-ettore/llvm-acse
otinn/llvm-asan
apurtell/llvm-clang
llvm-dcpu16/llvm-dcpu16
dberlin/llvm-gvn-rewrite
chandlerc/llvm-hacking
toaarnio/llvm-ir-memprotect
AzulSystems/llvm-late-safepoint-placement
codeplaysoftware/llvm-leg
m-labs/llvm-lm32
earl/llvm-mirror
Logicalmars/llvm-parabix
caparrov/llvm-performance
xiehuc/llvm-pred
xiehuc/llvm-prof
chapuni/llvm-project
microcai/llvm-qbasic
karzler/LLVM-SetID-Error-reporting
MatzeB/llvm-subreg-liveness
r4start/llvm-with-ms-abi-support
earl1k/llvm-z80
kaomoneus/llvm.stepan.dyatkovskiy
s-falke/llvm2kittel
phatina/lmiwbem
myriadrf/LMS7002M-driver
structure-computation/LMTpp
cmdevries/LMW-tree
tstack/lnav
Paradigm4/load_tools
szagoruyko/loadcaffe
severalnines/loader
mgymrek/lobstr-code
boostorg/locale
scross99/locic
candycode/loco
rdelcueto/Locusta
Tomius/LoD
lvandeve/lodepng
tux3/LoE-PrivateServer
boostorg/log
log2co/log2BGP
log4cplus/log4cplus
