ioquake/jedi-academy
ioquake/jedi-outcast
reverbrain/swarm
genome/pairoscope
zeehio/speech-tools
A2-Collaboration/acqu
jrmrjnck/okular-tabbed
spotify/annoy
01org/thermal_daemon
mer-packages/sensorfw
weiffun/zerobus
CasparCG/Client
alacarte-maps/alacarte
gameclosure/gcif
chen3feng/toft
rollingthunder/vps2
nemomobile/libqtsparql
runrev/livecode
mjmarin/libpabod
chrspeich/oostubs13
jottinger/alcyone
nemomobile/nemo-qml-plugin-social
TonicAudio/Tonic
kingofmen/CK2toEU3
rpereyra14/UNC-Waves
sirjuddington/SLADE
NPTricky/img-classification-ss13
koRemoteRE/KoReRE
Cryolite/cradle
patrickfrey/strus
LauriM/ProjectIce
CarlRapp/CodenameGamma
YutaMatsumoto/MIPSc
nemomobile/libmlocale
Flick1/Calculator
Xapphire13/combustion
alex-berman/sonotopy
morgantegigante/git-er-done
hyzor/GameProject
shaih/HElib
gt1/biobambam
kerautret/DGtal0.6-ForIPOL
hobu/hexer
kentonv/capnproto
uji-ros-pkg/underwater_simulation
smuething/dune-multidomain
qcad/qcad
Dark-Confidant/Massacre
LorenzMeier/qupgrade
ccny-ros-pkg/rgbdtools
ChristianFrisson/FUBIOSC
GooFit/GooFit
acado/acado
HexaMonkey/hexamonkey
VioletDarkKitty/hre6
ivanseidel/DueTimer
FreeStroke/FreeStroke
t-sakashita/rokko
t-sakashita/barista
B3rn475/MathParseKit
turinevgeny/rapid
peedeeX21/project_nao
cheshirekow/openbookfs
QiMa/Cocos2dWindows
galkahana/HummusJS
nemomobile/buteo-syncfw
Ilddor/Warcaby
EnoahNetzach/fourFs
roboptim/roboptim-core-python
victorshch/axiomlib
FrontierPsychiatrist/node-spotify
SuperV1234/SSVUtils
gt1/libmaus
objectcomputing/liquibook
rkistner/arcore
i8degrees/ttcards
hengli/camodocal
creatale/node-dv
enkore/j4-dmenu-desktop
arco/android_hardware_qcom_display-legacy
ginuerzh/uqq
cloose/CuteMarkEd
iGio90/android_frameworks_native
scotthartbti/frameworks_native
xaxaxa/workspace
seandepagnier/weather_routing_pi
mrogowski/KinectDemo
k06a/boolinq
xrootd/xrootd
andy-campbell/libqgit2
andy-campbell/acgit
roboptim/roboptim-core-plugin-nag
libretro/dosbox-libretro
malthe/google-protobuf
audiocogs/pitch.js
Kampfgnom/QPersistence
frenchie4111/Reverse-Javadoc
hymerman/foo_bestversion
HelioScan/HelioScan
klusta-team/klustakwik
