sbrown345/iod3js
vrsys/guacamole
touchvg/TouchVGCore
FastLED/FastLED
lotem/weasel
UFAL-DSG/pykaldi
benapetr/terminator
saleyn/utxx
siemens/embb
svalinn/moab_tools
jsturdy/gem-daq-code
PunchThrough/PunchThrough-BEAN-Arduino-Firmware
libspatialindex/libspatialindex
TEAM-Gummy/android_device_sony_nicki
arturl/executors
coreperf/rejit
patrick246/MauMau
themalkolm/tl
hmaec21/AOJ
chocoball/AnimationCreator
ParanoidAndroid/android_frameworks_native
nno/surfing
tpeng/python-crfsuite
NREL/OpenStudio
febeling/rb-libsvm
kbatoev/SpbSU-Homeworks
CapnBry/HeaterMeter
krafczyk/AMS
socam/lipstick
STS-Dev-Team/platform_frameworks_native
franaisa/Gloom
NorthernWidget/Logger
spark/firmware
iNaKoll/inkamath
kargm/morse_ros
Plain-Andy/android_platform_external_clang
sofian/qualia
Mandarancio/OpenGOO
davitb/arag
delaere/zbb_louvain
MoKee/android_frameworks_native
Magneticdud/Arduinomania
stencila/stencila
rigelgjomemo/csfv
CodingYue/acm-icpc
TEAM-Gummy/hardware_qcom_camera
stepcode/stepcode
laysakura/smartdb
fabric-engine/clang
webinos/webinos-renderer
napina/mathos
mapr/libhbase
fmihpc/vlsv
ibsh/libKeyFinder
TEAM-Gummy/hardware_qcom_media
UbuntuSTE/android_frameworks_av
gavinandresen/paymentrequest
bengfarrell/node-sweatintotheweb
HaikuArchives/XCalc
libyui/libyui-ncurses
MSM8226-Samsung/android_device_samsung_msm8226-common
tesseract-ocr/tesseract
sympy/csympy
RobotWebTools/ros_web_video
Mogara/QSanguosha
introlab/rtabmap_ros
hpicgs/cmake-init
vle-forge/vle
max-linux/max-desktop
SINTEF-9012/TinyOpenZWaveApi
fanout/pushpin
dekz/dcrypt
IngenicSemiconductor/hardware-ingenic-xb4780
Drenn1/GameYob
christopherpoole/CachedParameterisation
SIMITGROUP/phpexcelib
stevewolter/rapidSTORM
adegroote/hyper
Top-Ranger/harbour-katakana
csgo-data/demoinfogo-linux
mikeferguson/sandbox
cdkersey/chdl
Planeshifter/node-Rstats
HaikuArchives/Sequitur
gnb/novaprova
matt-attack/Jet
zorbathut/frames
TheOpenDevProject/QTwitchBot
vtyulb/BSA-Analytics
nattee/algo-class
mirror/odin
uos/katana_driver
lasvegasrc/Las-Vegas-Reconstruction
AMDmi3/pingus
MailCore/mailcore2
shimaore/yate
DirtyUnicorns/android_libnativehelper
msakhnik/asf-player
ctSkennerton/crass
CourseReps/ECEN489-Fall2014
