KumarRobotics/ublox
KumarRobotics/imu_3dm_gx4
u-n-k-n-o-w-n/BonDriverProxy_Linux
jonesdy/ethereal-star
libretro/beetle-bsnes-libretro
libretro/beetle-ngp-libretro
libretro/beetle-wswan-libretro
libretro/beetle-vb-libretro
libretro/beetle-lynx-libretro
libretro/beetle-gba-libretro
lasyan3/TrinityCore
ProjectUniversityCoin/UniversityCoin
Dargish/GLRender
hesiod/picalc-chudnovsky
gloob/compiz-tracking
elliotwoods/ofxKinectForWindows2
ahoarau/m3core
FreeOpcUa/freeopcua
libretro/beetle-supergrafx-libretro
livegrep/livegrep
libretro/beetle-pce-fast-libretro
yurimn/Udby
libretro/beetle-pcfx-libretro
libretro/beetle-psx-libretro
daemonmaker/krrtstar
jimregan/lttoolbox
upndwn4par/android_external_skia
google/fruit
ismacaulay/ProgrammingChallenges
tank-dev/tank
Martinsos/edlib
sandstorm-io/sandstorm
Snorenotify/Snorenotify
lichray/cpp-deuceclient
Ingener74/Jupiter
ricochet-im/ricochet
ShujiaHuang/Asmvar
OneMoreGres/qtc-gtest
OptimoJoe/Optizelle
FlybyMedia/3rd-party-localize
team-phoenix/Phoenix
rmohr/burg
aharmat/mcptam
clbr/webkitfltk
JAOSP/aosp_platform_frameworks_native
Kaffeine/telepathy-qt
smistad/FAST
jhanssen/nwm
opentok/opentok-ios-sdk-samples
m-mcgowan/spark-flashee-eeprom
macfij/another-snake
Nebuleon/gmenu2x-gcw0
skizzay/sequence
FoxelFox/Flatedge
autopin/autopin-plus
geo-data/cesium-terrain-builder
leonidia/util
freemancw/rationalcad
staniek/kexi
vulcanft/openmama
NamelessRom/android_system_vold
Chilledheart/googletest
Schmalkoders/Game-Racing-Manager
wikimedia/operations-software-hhvm-dev-folly
davilla/meatgrinder
Waluario/GPSummer2014MartinMattson
Alexthelionheart/RPG
Rapptz/jsonpp
mlsorensen/neutrino
StructuredDataLLC/Basic-Excel-R-Toolkit
Trzech/atabox-server
phillipm/ecpp-aks-primality-proving
smealum/SPACECRAFT
libretro/mednafen-pce-fast-libretro
opengate/Gate
G-Node/nix
patacrep/patagui
rock-simulation/mars
sauerbraten-fork/sauerbraten-fork
evil0sheep/motorcar
mwsmith2/slac-daq
ola-ct/lolqt
code-bits/battleship
LukeLeber/BarcodeStudio
CognitiveRobotics/omnimapper
sl0th/mpd
timrc-git/mdbm
AOSPXS/aosp_device_sony_hikari
daid/SeriousProton
orlinhristov/cportlib
fvacek/quickbox
manuel-freire/edalib
robotology-playground/WBI-Toolbox
IngoRoessner/LTest
leag37/BuffaloEngine
zzdhidden/mongo
dpjudas/uicore
Phantomsmedia/PhanTactical-Mission-Framework
LittleCodingFox/Flaming-Torch-Framework
yanzhengli/coreVM
