valabau/openlat
ahaven/6.824-Project
hzeroo/QHBot
exg/rxvt-unicode
matiu2/witty-tutorial
admsyn/ofxAudioUnit
SamLR/MuSIC5_offline_analysis
arq5x/bits
gorthauer/QtDockTile
worldforge/wfmath
fabiensanglard/Another-World-Bytecode-Interpreter
wang-bin/PhotoKit
worldforge/varconf
ObKo/OpenSR
Naios/DeepshjirRepack
stolowski/QComicBook
frankosterfeld/qtkeychain
H4311/Projet-Grammaire-Langages
Invertika/invertika
hpfem/hermes-legacy
wdas/SeExpr
pkok/bsc-pga
benlabs/sassena
antonvw/wxExtension
tclarke/opticks
schwehr/libais
WING-NUS/SSID
mate-desktop/mate-system-monitor
severalnines/loader
Aegisub/Aegisub
hlamer/qutepart
thewtex/tmux-mem-cpu-load
sowbug/G35Arduino
Potion/pocode
fred-dbg/fred
gavinp/git.webkit.org
signatal/strine
superdump/Video-Editor
jzarl/kphotoalbum
frigge/MindTree
mikrosimage/sequenceparser
statgen/libStatGen
hjr/XCSoar
werty/PSOEVO
kekekeks/skypetab-ng
eglaysher/rlvm
samneirinck/cemono
ajtack/riak-cpp
millerjv/PkModeling
coderforlife/pe-file
ChaiScript/ChaiScript
korslund/Tiggit
enGits/engrid
onedayitwillmake/ChuClone
traxtech/subtivals
cocos2d/cocos2d-x-extensions
hanzz/hamlog
kouretes/Monas
bmstu-rk6/libgod
lbaehren/prometheus-sumo
ggobi/qtbase
sidorovis/system_utilities
bdsullivan/INDDGO
youbot/youbot-ros-pkg
riverar/hashlnk
lsentis/uta-wbc-dreamer
sshao/549-gusty
nemomobile/qt-components
xdenser/node-firebird-libfbclient
ninjablocks/arduino
caiiiycuk/play-ttd
isis-project/qt4
fuCtor/QAMQP
kairit/Joint-multilingual-tagging-and-segmentation
psi-plus/plugins
pbiggar/phc
ManyClaw/ManyClaw
isis-project/BrowserAdapter
tavispa/Timer_Application
aqsis/aqsis
WilstonOreo/Tomo
HongjianLi/idock
davetcoleman/clam
slayoo/mpdata
Aico/mudlet
sgt7/android_device_samsung_p1-common
georgmartius/lpzrobots
glynos/cpp-netlib
saleyn/eixx
ITKTools/ITKTools
ecell/epdp
mumurik/NAXEL
vancegroup/vr-jugglua
maniacbug/RF24Network
negram/kopete_mrim
bieh/clustergl
iliis/Anathea
landr0id/Up
zmike/shotgun
Beman/filesystem-proposal
