mavlink/mavros
couchbaselabs/cbforest
AOSPA-legacy/android_device_lge_g3-common
victorprad/InfiniTAM
scalability-llnl/LaunchMON
Krozark/SFML-book
Benjins/my-engine
genpfault/qndview
jmillikin/haskell-re2
brico-labs/Escornabot
couchbaselabs/ForestDB-Benchmark
WPI-RAIL/carl_moveit
nextgis/formbuilder
zaps166/QMPlay2
mpadge/bike-correlations
gbeauchesne/libva
petersohn/cpp-util
steinwurf/boost
Transmission-Line-Software/transmission-line
sizlo/SwingGame
libgdx/gdx-realsense
MCMLXXXIV/PFO_Tools
magland/sequencetree4
metacpp/LeetCpp
xin3liang/platform_external_llvm
xin3liang/platform_external_clang
aumhaa/MIDI4L
m-arch/pnote
Sparkiy/sparkiy-client
CandyKat/frameworks_native
ntanibata/qtwayland
rgcalsaverini/pscli
Atom/keyboard-layout
skvark/SailKino
talaberg/TORCS-GitHub
UCNA/UCNA
alumae/gst-kaldi-nnet2-online
retaw/gameserver
guykogus/cocos2d-x-newnon
VanirAOSP/device_sony_qcom-common
ALSchwalm/Ephemeris
AOSPUI/android_frameworks_av
WISDEM/pBEAM
mikael-s-persson/templight
ifilot/severe-nitrogen
nnarain/sgl-wrapper
pfpacket/opencv-wayland
kurt-vd/mpd
dplusplus/patched-dcss-webtile
debian-lxqt/libqtxdg
bettse/arduino_projects
uwsampa/accept
ajorians/FlowdockAPI
MUME/MMapper
davechurchill/ualbertabot
contactless/domoticz
MST-MRDT/End-Effectors
Steve132/glhpp
petersohn/sokoban
xin3liang/platform_system_vold
xin3liang/platform_external_stlport
sekrit-twc/zimg
rpav/xleapmouse
peelonet/tempearly
Da-Huang/Top-S
hybridLambda/hybrid-Lambda
SeanCline/CatchVsTestAdapter
samsung/kv2streamer
dreal/probreach
izenecloud/izenelib
txsniper/MyNet
ntuorangejuice/cheat-sheet
AnanasAssembler/AnanasAssembler
svn2github/audacity
actnet/saedb
rtepowers/RESC
halmd-org/halmd
fzi-forschungszentrum-informatik/schunk_svh_driver
open-rdc/adis_imu_drivers
maxwiesel/neutrino-mp-cst-next
h8liu/nachos
sansumbrella/Choreograph
Kicer86/openlibrary
christopho/solarus-quest-editor
hotelzululima/insight
PatWie/CppNumericalSolvers
Kalinovcic/aspelc
chai2010/opencv
akhtyamovpavel/Balda
couchbaselabs/forestdb
ekg/vg
petuum/public
sandym/swiftpp
lcm-proj/lcm
PCMSolver/pcmsolver
rlucca/aslan
vladb38/rocksdb_protobuf
MatthewDaws/CPP_Learning
dibenede/NFD-ICN2014
Soomla/cocos2dx-levelup
