Yalir/sfeMovie
amorilia/formast
anirudhSK/cell-codel
graehl/carmel
shumatech/BOSSA
a4tunado/crtmpserver
Sync-my-L2P/Sync-my-L2P
razyoba/kraken
ariya/eightpack
tklab-tud/uscxml
dwblair/open-lab-monitor
retep998/Vana
indutny/tlsnappy
field/FieldKit.cpp
LibXenonProject/NewRAW
LibXenonProject/REminiscene
SmirnoffYM/AI-simulator
mgbellemare/Arcade-Learning-Environment
CRAVA/cravagui
blitzprog/flua
britram/libfc
CyborgSummoners/Summoner-Wars
zygoloid/clang
AlexeyDmitriev/testlib.hpp
ros/pluginlib
OPM/opm-polymer
4ZM/tuzz
paperManu/blobserver
rdiankov/openrave
vinniefalco/Amalgamate
sebhtml/Ray-TestSuite
CyanMobile/android_device_samsung_cooper_cyanmobile
guyrt/WFUBMC
losalamos/PISTON
samiam123/Voodoo
danieldg/inspircd
wasabiz/Picrin
ilyakorsunsky/heuristics2012
Pretz/SNesoid
AOKP/hardware_qcom_media
amksperling/RailGunDuckies
stnava/ANTS
froksen/FDesktopRecorder
sarum9in/yandex_contest_system
biotracking/biotrack
nemomobile/mlite
ooici/port_agent
ChiefzReloaded/android_device_lge_startablet
mhroth/ZenGarden
spurious/ThreadSanitizer-mirror
OptimalBits/navcodec
commontk/DCMTK
zerebubuth/openstreetmap-cgimap
stnava/ANTsR
openstreetmap/cgimap
CyanMobile/android_device_samsung_beni_cyanmobile
Snowball239/icfpc-kspt2012
gliaskos/freebsd-chromium
Cibiv/NextGenMap
Evervolv/android_hardware_qcom_media
falkTX/los
bli25wisc/RSEM
ethz-asl/libpointmatcher
Error323/E323AI
liquidamber/ares
saschazelzer/CppMicroServices
vinova/Artemis-Cpp
sanjoy/llvm
Dorregaray/libcamera2
fredre/iUpdate
Ratstail91/Tortuga
uweschmitt/autowrap
isorg/MagicPad
mich181189/crtmpserver
HarNys/IMT3601-project
izvolov/Meta
Kanma/Athena-Core
yoyofr/iFBA
pvrbook/pvr
lucasw/vimjay
pmneila/PyMaxflow
FreeCAD/FreeCAD_sf_master
hendrikp/Plugin_SDK
otinn/llvm-asan
Hanmac/libarchive-ruby
ccny-ros-pkg/ccny_rgbd_tools
bytemaster/tornet
scriptdev2/scriptdev2-classic
scriptdev2/scriptdev2-cata
scriptdev2/scriptdev2-tbc
hills/xosview
MaZderMind/osm-history-renderer
alquez/android_device_htc_marvel
mkoppanen/pzq
CNA/android_frameworks_native
emeryberger/Heap-Layers
freme/raybeam
statgen/bamUtil
candycode/loco
tbigot/tpms
