bgottula/noodles
pyMor/dune-grid-multiscale
petehague/RainfallMCMC
sunwaylive/five-minutes-algorithm
cplepel/Forge
sjewo/readstata13
Kreogist/Mu
bitsta/rootcoin
lvandeve/lodepng
stahta01/codeblocks_mods
mr-bo-jangles/DC-Mission-Template
Integreight/1Sheeld-Arduino-Library
chindit/dadabooks
Skylab/game
solarkennedy/ether_house
LSST/meas_algorithms
urinieto/msaf
eaperz/nut
iwongu/sqlite3pp
SpiritBlood/frameworks_av
cachirulop/PhotoViewer
ShortTailLab/ph-open
bshafiee/Swift_CPP_SDK
chronoxor/TrueTemplate
libretro/4do-libretro
Visu4link/pastec
raptor/clip2tri
karljacques/Teabag
david-sabata/UniversityRacer
ctiao/platform-frameworks-native
Tomoki/Shiranui
tado/ofxLiquidFun
SpiritBlood/frameworks_native
zhehaowang/ConferenceDiscovery
jeissonh/Progra2-14b
introlab/find-object
waddlesplash/Heidi
Swordfish90/cool-old-term
lolisa/first_order_logic_prover
imermcmaps/SFMLEngine
LeoCavaille/dvblmgr
CanadianZombies/InfectEngineV2
demianLopez/taller
QIICR/Slicer-PETDICOMExtension
MapQuest/avecado
WPI-RAIL/rail_segmentation
stll/STLL
commonsmachinery/hmsearch
kfindeisen/LightcurveMC
graeme-a-stewart/cpp-concurrency
LSST/meas_base
victorcabeceira/TECPROG_2-2014
NicolasWinckler/SIDSRoot
Lewerow/InstrumentRecognizer
Ommac/iRRLS
chzhgn/Mimi
kmc-jp/Klang
uos/sick_tim
peersafe/PeerSafe
karagog/gutil
FEvoR/master
janucaria/molphene
pbrunet/satueur
pyland/pyland
MohitShridhar/dynamic_gazebo_models
SkyFireArchives/SkyFireEMU_406a
synthicity/pandana
yashkes/LyX
LSST/afw
fraunhoferfokus/open-content-decryption-module
mikoro/orientview
kvbits/ktxtool
Open-Transactions/opentxs-cli
LSST/qserv
CODeRUS/powermenu
easymodo/qimgv
hulefei/Cocos2DX-OpenGLES2
signalspec/libsmu
Dev-Ghost/Liquid_device_sony_taoshan
rleigh-dundee/cmake
KTH-RAS/ras_lab1
MIAOKP/android_hardware_qcom_media-legacy
DISTRHO/DISTRHO-Ports
crawl-ref/crawl-ref
egocarib/EnchantingAwakened
noisemodeler/noisemodeler
SeizmoFMFI/2DFD
neu-rah/ArduinoMenu
hasherezade/bearparser
KellyJDavis/Andrews-Curtis
ALSchwalm/lfpAlloc
devttys0/sasquatch
radiocicletta/vlevel
pacerom/hardware_qcom_media-caf-new
pacerom/hardware_qcom_media-caf
emaste/clang
hpicgs/globjects
OHDSI/Cyclops
tyraela/NetherCore
FirefoxSTE/android_frameworks_native
