christopho/solarus
SupSuper/OpenXcom
vdm113/wxWidgets-ICC-patch
shogun-toolbox/shogun
mjwybrow/adaptagrams
nuigroup/ccv2
inspircd/inspircd
Whales/Cataclysm
swganh/mmoserver
ludamad/lanarts
Unvanquished/Osavul
LearnBoost/node-canvas
goldendict/goldendict
LibreCAD/LibreCAD
Chris7/Mudlet
VoltDB/voltdb
mcostalba/Stockfish
JonasThomas/free-cad
fritzo/pomagma
rezaali/ofxUI
lee-elenbaas/p2psn
rcaelers/workrave
tmeiczin/OpenDCP
akkartik/wart
cowboyd/therubyracer
GMXteam/FunkyDomino
euroelessar/qutim
uspgamedev/ugdk
openscad/openscad
Grive/grive
VesQ/cbEnchanted
basho/eleveldb
znc/znc
imageworks/OpenShadingLanguage
thrust/thrust
mumble-voip/mumble
mavlink/qgroundcontrol
edubart/otclient
jcw/ethercard
lgics/cm_device_lge_e510
woce/LunaSysMgr
kelvie/basket
Singular/Sources
scummvm/scummvm
shirriff/Arduino-IRremote
lemire/FastPFor
mohawkjohn/nmatrix
cinder/Cinder
openwebos/luna-sysmgr
gerstrong/Commander-Genius
peterbraden/node-opencv
opentibia/server
kylefowler/foursquare
OKullmann/oklibrary
gw280/skia
mosra/corrade
uboot/stromx-studio
enigma-dev/enigma-dev
leethomason/tinyxml2
bjorn/tiled
PecanCM/android_device_lge_p350
machinalis/protobuf-python3
sybila/Parsybone
lordmulder/LameXP
adobe/brackets-shell
martine/ninja
JorgeAparicio/libstm32pp
JorgeAparicio/qSerialTerm
tomahawk-player/tomahawk
hpcc-systems/HPCC-Platform
farbrausch/fr_public
cruppstahl/hamsterdb
chapuni/llvm-project
arx/ArxLibertatis
isgl3d/isgl3d
stanford-ppl/Green-Marl
TrinityCore/TrinityCore
edge87/PBCx
huceke/omxplayer
AMDmi3/streetmangler
bondgeek/pybg
dmorse/simpatico
LaurentGomila/SFML
musescore/MuseScore
llvm-mirror/llvm
neubig/kytea
basho/leveldb
chapuni/llvm
cocos2d/cocos2d-x
Itseez/opencv
Kitware/ParaView
matplotlib/basemap
eomahony/Numberjack
quarnster/SublimeClang
simongog/sdsl
tias/xinput_calibrator
mana/manaserv
