Mountain-Colt/mesos_patch
mlpack/mlpack
officinerobotiche/serial_bridge
jasonbarnes/he
greenisland/greenisland
SlimRoms/device_motorola_shamu
zahybnaya/mnk
bowlofstew/http-to-kafka
valhalla/midgard
Nitrokey/nitrokey-app
SijmenHuizenga/BitBot
OskarLundgren/WeatherStation
vzaccaria/debug.hxx
Kitware/Remus
somcom3x/android_frameworks_av
robly18/GDD
jiminliang/caffe
ETLCPP/etl
suyouxin/android_external_skia
Chilledheart/google-breakpad
lama-imr/lama_utilities
thirtythreeforty/bullycpp
ziding/v8
A-TV/platform_frameworks_av
quesnel/safihr
mizukusak/qtquickcontrols
savoirfairelinux/opendht
personalrobotics/or_rviz
dillonl/gwiz
michalliu/Chromium-WebRTC
ITLab-Vision/itlab-vision
hainn8x/gnuradio
dtmoodie/EagleEye
psteinb/anyfold
thijser/robotica-minor-5
vetzki/hardware_qcom_media
h4tr3d/cmakeprojectmanager2
Ultraschall/Ultraschall-Hub
ghewgill/neon-lang
JJPPeters/clAlign
darthdeus/graphite-gui
gueei/MACRB
cpalone/csolve
gelicia/tweetSkirt
jasongorski/libbpg-xcode
Evervolv/android_art
AndrewStallman/Frog
marekkokot/KMC
leo-project/erocksdb
tue-robotics/geolib2
ipa320/cob_navigation
m-labs/llvm-lm32
ghilbut/ygg
SlimRoms/android_external_icu
personalrobotics/or_interactivemarker
percona/debian-percona-server-5.6
matt4682/Shinjiru
XPerience-AOSP-Lollipop/android_frameworks_av
Saytiras/OpenCLExperiments
theandrewchan/DungeonRaider
lethosor/yadc-plugin
romanivanov21/tk_project_windows
rddt/tictacs
makrin/ARISS
mstubinis/Serenity
zach-hartwig/ADAQAcquisition
nhaarman/macs2
FRCTeam1967/FRCTeam1967
parikmaher534/Grabber
Manu343726/boost-biicode
gem5/gem5
NIDCD/lsnm
pacerom/device_lge_mako
spatial-computing/CASPER
ProjectDISCO/android_device_lge_mako
xcore/tool_axe
lollipoop/android_frameworks_native
ethereum/evmjit
X-AT/trakd
suyouxin/android_frameworks_native
FH-Thomas-Herzog/CPP
edvb54/ratium
fer-rum/q2d
carpe-noctem-cassel/cnc-turtlebots
plan44/vdcd
wanglimin/caffe
jeffkilpatrick/thermocouple
loadrunner/cocos2d-x
glennw/miniservo-gtk
WigWagCo/node-netkit
alliedmodders/sourcepawn
SimpleAOSP-Lollipop/platform_device_moto_shamu
SimpleAOSP-Lollipop/platform_device_asus_flo
scalvez/GammaTracking
Jokeren/DataMining-gSpan
renatosamperio/process_visualisation
pizzard/warlight-starterbot
walsh06/BasketballManager
xoolive/quadtree
alexandernst/cpp-bitstring
