gameclosure/native-android
mmurdoch/arduinounit
boostorg/ublas
ryppl/Boost2Git
malikcjm/qtcreator
crankycyclops/trogdor-pp
sebkirche/pbniregex
ted0000/obilink
praveenster/leplib
satoruhiga/ofxGwen
filipg/psi-toolkit
mrnickel/bb10pulltorefresh
DataMap13/DataMap
bluecherrydvr/bluecherry-client
DynareTeam/dynare
seandepagnier/weatherfax_pi
unknownworlds/decoda
echa/libopenframeworks
WarmongeR1/QSopherim
weary/reass
Hatell/Tulospalvelu
AISanDiego-ProgrammingClub/Class-Excercises
phire/llvm
alekmaul/mame4all
digitaldestructo/DDConvexHull
bro/bro
JeffreyRacine/R-Package-crs
ams2378/aes_core
r4d2/dcpu-cc
epgdatacapbon/EDCB
jiazhihao/clang
vranki/ExtPlane-Panel
AGWA/git-crypt
kareem1234/2404-project
nerdling/SBSAT
kylemcdonald/BaristaBot
pasnox/housing
NuriaProject/Core
miun/ungraph
stan-dev/stan
Creat/OpenTTD-Separation
GarageGames/Torque2D
feldkamp/giraffe
AlexandrShestakov/Dione
MrEricSir/Modipulate
udacity/cs344
mbasaglia/Knotter
sinlab-semester-2012/colorOfMind
dfm/george
TimCinel/ImportFromIRL
iangodin/dhcpdb
mstaring/elastix
deskvox/deskvox
anak10thn/ignsdk-qt
YiPo/cpp-simple-matrix
2-complex/g2c
DependableSystemsLab/LLFI
thorwe/CrossTalk
kito-cheng/libelfxx
NorthernForce/NorthernForce-Robot-2013
alienjon/Escape-
vmilea/CppAwait
ike3/scriptdev2
LubosD/fatrat
nemomobile/libqofono
morgwai/ndktutorial
pnlbwh/ukftractography
openspim/micromanager
galaxy-team/galaxpy
orocos-toolchain/typelib
mirror/pcsx2
kiroxas/Rogue_BOI_Style
Lemmibl/Engine
wbsun/snap
Chris7/Mudlet2
zhanxw/rvtests
sgielen/libdazeus-irc
MMiartoteo/SimProj
CoherentLabs/CoherentUI_CryEngine3
p4checo/triplebuffer-sync
CerebralStorm/CS3505
jokesterfr/node-pcsc
tfl/muttvcardsearch
KDAB/KDAB-Creator
gergondet/bci-interface
ivanllopard/nios2-llvm
miguelbalboa/rfid
domoritz/clasp-pb
meadori/llvm
cdesjardins/ComBomb
zubozrout/steam-skin-manager
zsummer/log4z
evanphx/marius
ContinuumIO/dynd-python
mark-chromium/mini_chromium
darwinop-ens/darwin-op
archeos/micmac-archeos
silicontrip/SkyReader
HiFi-LoFi/KlangFalter
forio/julia-studio
