mupen64plus/mupen64plus-video-rice
Distrotech/qtpim
auneri/CMakeAll
UCSD-E4E/stingray-vision
mupen64plus/mupen64plus-video-z64
mupen64plus/mupen64plus-rsp-z64
iocenter/ResOpt
OpenLightingProject/ola
claudiok/clsim
JeffersonLab/remoll
larryyueli/okshell
CoActionOS/CoActionOS-Desktop
Sixstring982/MFMv2
Klumhru/boost-python-bullet
felipemontefuscolo/ead
flareguner/litetran
vkarthik26/playa
koowolf/cjc-test
nfomon/shok
jbohren/conman
EmilianStankov/Pong
giszo/zeppelin
BinaryBrain/Elodie-Dream
r0mai/tungsten
grain-crypto/grain
opendnssec/SoftHSMv1
lukesalisbury/luxengine
xythobuz/OpenRaider
xunzhang/roraima
VisualMelon/Sharaes
vooon/mavros
spaceconcordia/space-jobs
karip/harbour-file-browser
team-diana/vision
FRC2994/TestProg
erikjv/clang
xiaoyur347/gperftools_uclibc
vnaydionov/yb-orm
Zeeee/DNS-replication
tanghus/kitchen-timer-qml
cyandream-devices/android_device_lge_mako
mdorenka/fhemduino
splhack/Hello-LWF-Cocos2d-x
cms2l2v/2l2v_fwk
3Hren/blackhole
Distrotech/qtcreator
Distrotech/qtdeclarative
Distrotech/qtscript
SuperTuxTeam/supertux
pycage/cargodock
loganchien/libcxx
litmus4/Pxc-Game-Frame
voc/dvswitch-voc
linyvxiang/leetcode-me
wghost/UPKUtils
DeKugelschieber/BurningByte
nebula2/Pew
Mendeley/Qt
pacerom/hardware_qcom_media
ROMFactory/android_hardware_qcom_media
mechlabDegenkolbe/lutherprototype
toonetown/boost-ext
Kreogist/Nerve
nucleic/kiwi
BVLC/caffe
sbabbi/tinympl
cnlpete/MeeBackground
omar-moreno/hps-dst
ehein6/contech
codewdy/ST
hartenfels/FSMLplusplus
FreeRCT/FreeRCT
chunlinhan/WiFiRM04
doo/CrashRpt
psi46/pxar
stack-of-tasks/state-observation
mdrska80/timesheet
gmarcais/Jellyfish
alex-caelus/kryptan_android
nathanbullock/obsequi
Mudlet/Mudlet
splhack/Hello-LWF-UIKit
jweyrich/sslpkix
lrog/dsrc
arq5x/bedtools2
nhachicha/SnappyDB
qtproject/qt-labs-weather-app
DonutDev/SDL_Test
ChWick/Zelda
Morozzzko/particles-in-box
orocos/rtt_geometry
orocos/rtt_ros_integration
bradgrantham/viz
OpenPTrack/open_ptrack
PocketRent/hhvm-pgsql
SwissCZ/pl
fk-lx/SailshotMe
naemon/naemon-livestatus
simoncozens/sile
7h0ma5/OpenShack
