rootpy/root_numpy
SOCI/soci
ThrowTheSwitch/CMock
yllekkram/xbpl4kyn
inspircd/inspircd-extras
vanderlin/ofxBox2d
vmtk/vmtk
Noxalus/YAPOG
PySide/PySide
blackberry/Skia
triblerteam/libswift
indutny/candor
nemomobile/libconnman-qt
TooTallNate/node-lame
minimoog/QTweetLib
EasyRPG/Player
wmorgan/leveldb-ruby
sbooth/SFBAudioEngine
lemire/Code-used-on-Daniel-Lemire-s-blog
sirikata/json-spirit
TheBuzzSaw/XPG
coolfluid/coolfluid3
tizbac/SpringMapConvNG
dc2011/td
rbmj/612-code
hugopl/Iceberg
H-uru/dirtsand
iut-ibk/DynaMind-ToolBox
cocaine/cocaine-core
amireh/Karazeh
xbmc/translations
veltzer/linuxapi
wdb/wdb
LosYear/Ferriage
Eyescale/GLStats
mariusaeriksen/thrift-0.5.0-finagle
broxtronix/Fiat-Lux
santa01/yage
Evervolv/android_external_stlport
strobejb/HexEdit
joegen/oss_core
sosolimited/ofxSoso
TheJosh/chaotic-rage
hub-cap/sneaky-pete
arq5x/bedtools
robertop/pelet
jrk/llvm
encukou/desmume
project8/mantis
Overv/OOGL
cpputest/cpputest
udoprog/c10t
kaorut/bobura
adobe/dds2atf
marek629/SIR
scoopr/vectorial
thestinger/termite
jbcoe/CppSandbox
snowshoe/snowshoe
egorFiNE/clarc
open-ephys/GUI
eiskaltdcpp/eiskaltdcpp
apoloval/open-airbus-cockpit
BenHanson/lexertl
drolbr/Overpass-API
niobos/velbusd
maidsafe/MaidSafe-DHT
synfig/synfig
nebw/gsoc2012
Dremora/foo_musicbrainz
wallix/redemption
Bonobolabs/ios-in-app-purchasing-framework
mik9/qt-radio-t-client
HeeroYui/edn
OPM/opm-core
elliotwoods/artandcode.Camera-and-projector-calibration
michael-lehn/FLENS
freundlich/fcppt
DGtal-team/DGtal
ickby/openDCM
ursine-paw/upSL
openaphid/Runtime
kohler/tamer
mcvsama/haruhi
Henne/Bright-Eyes
agra-uni-bremen/metaSMT
Komnomnomnom/swigibpy
ufz/ogs
k2informatics/erloci
OpenJabNab/OpenJabNab
svn2github/cef3
geometer/FBReader
q4m/q4m
adamgreen/mri
munin-monitoring/munin-node-win32
aothms/ear
LuaAV/LuaAV
mjwybrow/dunnart
fifnel/cppwss
sirikata/liboauthcpp
