bosch-ros-pkg/bosch_drivers
abbr/NodeSSPI
syxolk/mictool
josephlewis42/UDenverQGC
C-RoM-KK/android_system_vold
scotthartbti/android_external_skia
DarkDruiD/ControllersArduino
jasn/lexer_generator
leaningtech/cheerp-utils
chrismullins/meshkit
andyschwarzl/gpuNUFFT
elektito/gravity
katyhuff/StreamBlender
katyhuff/CommodConverter
timmwagener/OpenColorIO_Tools
digvijay91/snmp-software
NASA-Tensegrity-Robotics-Toolkit/NTRTsim
jscheiny/Streams
hjmjohnson/vv
intel-iot-devkit/upm
JeffersonLab/chroma
CreditsCRD/Credits
scipr-lab/libsnark
adityaramesh/io_benchmark
nerfregen/Woofers
GRIS-UdeM/ZirkOSC2
microtony/RTLSDR-Airband
mosling/SQLReport
reprapbcn/Firmwares
Brinsky/FOTH
herndon/FNALComp
amaloz/otlib
davidhouchin/m7engine
loftili/core
luksamuk/ggsc
zhengxwen/gdsfmt
PixelROM/frameworks_native
solk2/android_device_samsung_ks01lte
ShinyROM/android_device_asus_flo
imzcy/JavaScriptExecutable
PeterTh/gedosato
boiarino17/epics
teuro/sfml-radar
AzulSystems/llvm-late-safepoint-placement
Blackvoxel/Blackvoxel
Inria-Asclepios/TTK-Public
TheRabbitologist/libDSON
gaultier/SDL2_OpenGL3.3_Sample
hellox-project/HelloX_Kernel
on-three/video-text-relay
eschkufz/stoke-release
aeheathc/LaharPlot
gcblue/gcblue
sass/libsass
TheWhisp/android_device_samsung_wilcox-common
movie-project/movie-project
zzdever/PMIG
Toutjuste/JustPlug
hippiehunter/SnooDom
VruiVTK/VruiVTK
scrm/scrm
octopuscabbage/UMKC_Summer_Robot_2014
v3l0c1r4pt0r/xSDM
NiceCircuits/Drawing-robot
TadasBaltrusaitis/CLM-framework
cavaliercoder/sysinv
tau0/djvu.js
springweblobby/swl-qt
showcheap/SiPUS
kpdyer/regex2dfa
rec/swirly-leap
GPUSPH/gpusph
Hashcode/android_frameworks_native
truckit/Truckcoin
Happy-Ferret/Little-Paw
sekishi1259/SimpleROHook
meeloo/xspray
davidgreisler/four-in-a-line
LBNE/fnal-art
Meee32/netcoin
meta-qt5/qttools
guilhermeanselmo2/Universales
fluxio/node-cgal
mapbox/mapbox-gl-native
d4ndo/checksumjack
noam-io/lemma-qt
Theverat/NormalmapGenerator
quarkslab/nodescan
Slicer/ParameterSerializer
TeamBAKED/device_generic_goldfish
guilhermejcgois/projeto-cinema
yamamushi/libbmwrapper
ravenrd/DRAMPower
hyc/leveldb
WangGenomicsLab/SeqMule
PR2/pr2_calibration
GeyerA/platform_frameworks_native
FeMTTU/femus
benkuper/AIR-NativeExtensions
Kitware/maptk
