InfoAG/CAS-Netzwerk
crocdialer/KinskiGL
Heeks/libarea
Cloudname/nodee
mysmartgrid/libklio
nvmecompliance/tnvme
speedcrunch/SpeedCrunch
marmalade/libcurl
wnt-zhp/zarlock-cpp
tilal6991/Ultimate-Download-Manager
peter-ch/MultiNEAT
TRIQS/TRIQS
Igalia/aura
FieldML/FieldML-API
netarc/c-arel
RtsAiResearch/IStrategizer
asantee/ethanon
merelin/mediasmartserverd
luceneplusplus/LucenePlusPlus
steinwurf/sak
tony2001/pinba_engine
patentnetwork/CPP_Disambiguation
evemuproject/evemu_crucible
isis-project/BrowserServer
coryb/gearbox
bintrue/design-patterns-play
gpodder/libmygpo-qt
GPII/windows
gambitproject/gambit
cdebavel/CPSC-585-Game-Project
joeferner/node-serialport2
neobotix/neo_driver
neobotix/neo_common
bearing/grif
WMFO/Lyric-Scraper
lynxeyed-atsu/eXodusino
Wassasin/librusql
isis-project/WebKit
MistyRTAW/MistyRTAW
WrongEntertainment/MultitouchPadOsc
ThSlyu/Turing
avasyukov/gcm-3d
mash/node-imagemagick-native
noam-c/EDEn
kashif/node-geos
cnbuff410/Libsvm-androidjni
leonardo2d/douml
earl/llvm-mirror
jwawerla/autolab-rapi
sakra/cotire
hillstoneUnited/hillstoneUnited
Gr1N/EasyPaint
DC2012/DC2012
Malvineous/libgamemusic
repetier/Repetier-Firmware
Komet/MediaElch
fabianschuiki/OpenSkyscraper
mozy/mordor
juj/MathGeoLib
FroboLab/FroboMind
gorthauer/vreen
scriptum/UBFG
ktechlab/ktechlab
away3d/awayphysics-core-fp11
tegesoft/camp
joelgwebber/bench2d
pipelka/xbmc-addon-xvdr
mrlukeparry/freecad
mikael-s-persson/ReaK
nikhilm/node-taglib
hemmer/mlrVST
genome/bam-readcount
kronosaur/Transcendence
jamescoxon/dl-fldigi
joaquimorg/android_device_huawei_u8510
sipa/bitcoin-seeder
bra-ket/Scacchiera
pasnox/mks-ng
xarray/osgRecipes
mzsanford/cld
gunoodaddy/coconut
fcitx/kcm-fcitx
gkovacs/unetbootin
creationix/node-leveldb
pibara/jsonme--
kenjione/simple_diamond_dmc_simulation
jslick/matrixvm
mgottschlag/kwin-tiling
jstotero/android_device_lge_p690
andrejv/wxmaxima
wingrime/android_device_lge_swift
BartVandewoestyne/oaconvert
Granjow/slowmoVideo
appcelerator/tijscore
makerbot/G3Firmware
srz-zumix/iutest
blackberry/Cascades-Samples
kshyatt/Spin-Models-on-GPU
freundlich/mizuiro
rhdunn/espeak
