lene/HyperspaceExplorer
G4m4/soundtailor
vilvo/libmatcher
ethz-asl/kindr
Wohlstand/PLatGEnWohl
Alke-Games/Dauphine
getlantern/natty
nothingisbad/robotics-checkers
goldsy/cp3
Jon0/WhileCompiler
pockemul/PockEmul
rohanliston/guisignalslot
playgameservices/gpg-cpp-samples
chaosmailorg/UserManagementBackend
FedoraKDE/fedora-plasma-first-login
ghaststeam/PS4EMX
halzate93/solver
jottCern/rootana
robotology/wysiwyd
robotology-playground/iDynTree
uzh-rpg/rpg_vikit
rhysd/Dachs
TEAM-Gummy/android_hardware_qcom_media-caf-new
pyMor/dune-gdt
BoostGSoC13/boost.afio
celtab/rfidmonitor
janvc/molconv
mz2/MPGestures
liuctic/PercSeqLabel
alexdobin/STAR
amonchakai/HFRBlack
vedgy/venturous
sabel83/just
michaellukashov/filecopyex3
qianjigui/android_system_service_example
mgreter/sass2scss
mgsxx/QEverCloud
CarbonDev/android_external_stlport
jimporter/mettle
andreasmuller/OculusRiftWorkshop2014
rfinkelnburg/WRF_manip_tools
andrew-bibb/cmst
dwmkerr/glmnet
Yad-Studio/YAD-Studio
Hinogary/czelta
samsung/skia
bobo1993324/uReader
pcolby/quickview
mainroach/crabby
tjlane/thor
kyliau/playground
benb/PLDA-objc
sandsmark/dropdabass
webOS-ports/qtmultimedia
open-rdc/autonomous-vehicle
chukong/EarthWarrior3D
gamenet/qxmpp
ampl/coin
tranvictor/landlord
cms-l1trigger-menustudies/MenuGeneration
joepickrell/gwas-pw
Thestars3/arkzip
voodootikigod/voodoospark
beniz/hmdp
senapk/fupsi
windoze/fibio
halsafar/libtmx-parser
DFRobot/Mindplus-Desktop
svn2github/webrtc
arrayfire/arrayfire_r
jaylawhorn/delphes-dihiggs
FREEDM-DGI/FREEDM
DX-MON/IRCBot
BastiaanOlij/omnis.xcomp.widget
alec101/OSInteraction
kradhakrishnan/bblocks.cc
loujiayu/Baiduyun
ethz-asl/Schweizer-Messer
kami-/admiral
drmorr0/viz
mattyx14/otxserver
crosswalk-project/v8-crosswalk
OneMoreGres/qtc-cppcheck
gnu-sandhi/sandhi
ncos/mipt-airdrone
jkomiyama/banditlib
taskwarrior/taskd
carlu/GRSISpoon_Calibrations
afidd/Semi-Markov
entdark/jk2mp
KITrokopter/GUI-Application
latufla/BLight
eerolanguage/llvm
eerolanguage/clang
awgn/codes
kkapsner/hiddenMarkovModel
Factoid/alleg-core
WizLxn/MAssistant
kyamagu/mexplus
DougEdey/StrangeBrewQT
