niklasb/webkit-server
DGtal-team/DGtalTools
TeamGalaxyR/android_device_samsung_galaxyr
Paul-Wortmann/Frost_and_Flame
simplerr/Project-Mayhem
esnme/ultramemcache
isis-project/WebKitSupplemental
HotKeyIt/ahkdll
konnibe/LogbookKonni
konnibe/FindIt_pi
cptG/qling
worldforge/atlas-cpp
zn01wr/Librecraft
mangosR2/mangos3
joto/osmium
falconindy/ponymix
tmkk/XLDFdkAacOutput
djcsdy/swfmill
yast/yast-snapper
evanw/rapt
DOOMer/ScreenGrab
jcw/metakit
kees-jan/scroom
ZelconGames/Facade
Malvineous/libgamearchive
take-cheeze/EasyRPG
ajalkane/profilematic
rohieb/StratumsphereTrayIcon
NDN-Routing/ndnSIM
pasnox/fresh
timschmidt/repsnapper
dramninjasUMD/DRAMSim2
InfraArcana/ia
TimSimpsonR/sneaky-pete
genome/joinx
Singular/LELA
PySide/Shiboken
amintz/ituita-outdoor
NtQuery/Scylla
keerola/vantaanjoki
tomaszmrugalski/dibbler
iryoku/smaa
benni0815/SchafKopf
TACC/DisplayCluster
dlonie/XtalOpt
echonest/echoprint-codegen
voiceglue/voiceglue
josephreisinger/vowpal_porpoise
benvanik/Xenia
sansumbrella/sc-Choreograph
nojhan/eodev
tpaviot/oce
jinchizhong/qt-kso-integration
ElementalAlchemist/RoBoBo
cutechess/cutechess
BramvdKroef/clessc
JaeyongYoo/VisualXSwitch
cajus/qpid-cpp-debian
ianhinder/Kranc
pal-robotics/reem_teleop
pkunavin/ncxmms2
nafur/optiB
triochi/QtAdb
blueboy/portalR2
psi-im/iris
isis-group/isis
pvbrowser/pvb
rescrv/e
c4fcm/Junkyard-Jumbotron
PySide/Generatorrunner
vovoid/vsxu
wavii/darner
moai/luamongo
nu774/qaac
OpenCMISS/examples
libgit2/node-gitteh
sansuiso/ComputersDontSee
limansky/tinymount
gritzko/swift
morphlingdev/Morphling
rhoot/Gw2Browser
OpenRTMFP/Cumulus
lbnt/perception
hexhex/core
dberlin/llvm-gvn-rewrite
GehnShard/Plasma
opengm/opengm
kuno/GeoIP
SuperNexus/android_frameworks_av
gmarkall/manycore_form_compiler
LK8000/LK8000
zaki/irrlicht
Bradbev/qgrep
bempp/bempp
SuperNexus/android_frameworks_native
rofldev/pugihtml
ALive-WoW/RC2
krikr808/master_thesis
pfi/pficommon
SwampWalker/MosquitoTensor
