liuruoze/EasyPR
libretro/bsnes-libretro
HeimdallTeam/Hoe3D
HeimdallTeam/Alcominance
simquest/opensurgsim
sakuraba001/android_device_samsung_js01lte-common
Maxomann/kgEngine-2.0
helgebetzinger/coasync4cpp
AndresRicardoTorres/evolutionary-board-games
pezy/QtLab
mogutt/TTServer
robotology-playground/OpenSot
leafo/itchio-app
nubots/NUClearPortOld
zyvitski/DSG
fabric-engine/SpliceStandalone
LSST/partition
juanrojochacon/OxfordHH4b
spdomin/Nalu
loreglean/lantern
yandex/mediastorage-proxy
khizmax/libcds
OpenDroneMap/OpenDroneMap
italiancpp/yahtzee-cpp
Ra1nWarden/UVa-Online-Judge
gnorasi/gnorasi
MasterSoft24/grive2-gui
drmeister/externals-clasp
yoshimalucky/pcl_ros_outdoor
AdiJurca/pot7f4
asridharan/StitchNetOS-xorp
HypoModel/HypoModelBase
sumotoy/RA8875
MST-MRDT/Motor-Controller
frenchjam/GripGroundMonitor
Quentique/WordBook
krattai/flosh
jonathon-love/BEESTS
Manuzor/GamePhysics
qdore/Mutate
nataliaeire/Project3
kms1837/mixSlime
Rayman/amigo_whole_body_controller
tork-a/openrtm_aist-release
paesanilab/mbpol_openmm_plugin
ConorStokes/IndexBufferCompression
Uplimg/Uplimg
shama/navelgazer
izenecloud/sf1r-lite
izenecloud/idmlib
macmade/ID3v2
OpenXRay/xray-16
GlasslabGames/GlassLabSDK-cpp
OpenChemistry/tomviz
SpriteStudio/SSPlayerForCCH
IgorBertuol/TrabalhoAlzeimer
open-rdc/icart_mini_driver
open-rdc/icart_mini_gazebo
bernied/llvm
cms-bph/BToKMuMu
Expertinos/robotino_ros
pyqt/python-qt5
HSAFoundation/HLC-HSAIL-Development-LLVM
rdelcueto/Locusta
NoZip/TacoGL
HighlandersFRC/2015-lua
zeldin/platform_external_llvm
gangeli/NaturalLI
vcappello/deved
apoloval/flightvars
matlinuxer2/ucimf
foobar27/generic_format
romaincheminade/Eve
utkarshSiwach/Major
chukong/programmers-guide-samples
jakirkham/Rank_Filter
netheril96/autojsoncxx
DISTORTEC/distortos
tguillem/mpd
intimates/heartlink
LiquidityC/deadgaem
medoc92/upplay
garlick/sbig-util
lagner/QGumboParser
CourseReps/ECEN489-Fall2013
sletta/stuff
xoreos/phaethon
jsalvado/SQuIDS
svn2github/v8
honux77/practice
logicmachine/LibCompetitive-v3
albertnez/keep-your-color
zaborowska/FCC-fast-sim
achiever202/Assignments
ethz-asl/libvisensor
nubots/NUbots
thuetz/movieJoiner
bmitzel/cs486asgt2
OpenSprinkler/OpenSprinklerGen2
turbo-santa/turbo-santa-common
