fedorov/Reporting
toxa81/sirius
adiknoth/ffado
Dorregaray/camerahal
fclaude/libcds
Neha03/gsoc2012-javascript
simsong/tcpflow
Homer-Conferencing/Homer-Conferencing
TorstenRobitzki/Sioux
libyui/libyui-qt
libyui/libyui-qt-pkg
libyui/libyui
LukyLuke/PiTres
hrouault/Imogene
chenm001/thevc
awgn/cgrep
SimonKagstrom/kcov
knowhow/harbour_playground
mit-carbon/Graphite
kpu/kenlm
hakaishi/nobleNote
mslinklater/FC
sabel83/mpllibs
fluxbox/fluxbox
jmztaylor/android_device_htc_primoc
uliss/quneiform
boltonli/ohbee
android/platform_dalvik
mscdex/ssh2
tapir-dream/berserkJS
treecode/Bonsai
anhstudios/swganh
workflo/shaback
jreeder/JRNN
enjalot/adventures_in_opencl
toffaletti/libten
jackaudio/jack2
psi-im/psi
Itseez/opencv_extra
zeux/pugixml
phs/sauce
alanwww1/xbmc-txupdate
arescentral/antares
philsquared/Catch
pathscale/stdcxx
ccherrett/oom
Evervolv/android_frameworks_av
spersson/Kup
keithw/multisend
GuillaumeLeNost/SimpleFFT
jeremybarnes/jml
imogenproject/gpuImogen
nubots/robocup
chenshuo/recipes
TUM-I5/SWE
figment/JA2-1.13
simonfuhrmann/mve
OpenNebula/one
rhodricusack/automaticanalysis
patrickmmartin/winampremote
tuttleofx/TuttleOFX
GadgetFactory/RetroCade_Synth
aashish24/gdal-svn
mosra/magnum
mosra/magnum-plugins
pichenettes/shruthi-1
lilliemarck/kloss
gzorin/RSXGL
jruby/jruby-launcher
camb416/video-table-interactive
Luxoft/iviLink
fedorov/MultiVolumeExplorer
Grumbel/xboxdrv
kypeli/Podcatcher
Evervolv/android_device_htc_inc
harlequin-tech/WiFlyHQ
baumgarr/Nixnote2
kipr/kiss
phys-tools/pi-qmc
headmyshoulder/odeint-v2
openhome/ohNet
VDrift/vdrift
llvm-mirror/libcxx
chapuni/libcxx
nasa/World-Wind-Java
yade/trunk
broune/mathicgb
mikrosimage/duke
zhouyan/vSMC
llvm-mirror/lldb
chapuni/lldb
pelican/pelican-lofar
sora-M31/rayTracer
AlexanderFabisch/OpenANN
expipiplus1/joelang
ViviCoder/GM-Assistant
darthvader88/ihpp
hpfem/agros2d
yast/yast-core
mavam/vast
