GiacomoSguazzoni/usercode
lilypond/lilypond
chrisvana/repobuild
tux3/LoE-PrivateServer
milasudril/gabi
projectchrono/chrono
PointCloudLibrary/data
sumotoy/LiquidCrystalNewV2
nmandery/batyr
AMDmi3/libSDL2pp
Ancurio/mkxp
Darksecond/libcore
orignal/i2pd
visualboyadvance/vbam-libretro
razrqcom-dev-team/android_device_motorola_qcom-common
videolan/x265
uglide/RedisDesktopManager
VladimirGl/hand
gogglesmm/gogglesmm
igemsoftware/USTC-Software2013
edly/SJTU_Inffferno_Templates
zeromq/zeromq4-x
DBCTRADO/TVTest
Oslandia/horao
trikset/trikRuntime
mcencora/kdevcpprefactor
Canadadry/luaSFML
trizdreaming/oldboy
jihwankim/CSM
blastingzone/puzzleProject
huggle/huggle3-qt-lx
01org/ozone-wayland
xiw/stack
nemomobile/libsocialcache
Metaswitch/sas-client
lcferrum/hmtsu
TheComet93/chocobun
AimZ-dp/Arma3-dpWastelandv2-Stratis
squshy7/epoch_server_files
lana-gull/raytracer
sglass68/paperman
memononen/recastnavigation
BTAS/BTAS
jonathanboom/sdd-sudoku-teacher
juniper/contrail-controller
SebaArriagada/Client-IRSSDeluxe-USM
Source-Python-Dev-Team/Source.Python
eth-srl/WebERA
DomNomNom/RayShader
EasonLiao/CudaTree
richardeakin/Cinder-Dart
quarkslab/libleeloo
ratschlab/oqtans_tools
JACoders/OpenJK
phScholz/xiaStarter
Meoo/SimpleGameEngine
ljwagner/025sic
rszimm/sprinklers_pi
horde3d/Horde3D
kunzel/object_search_utils
kaskr/adcomp
01org/omx_comp
ros-industrial/industrial_moveit
wistaria/worms
CardiacImagingCharite/CardiacPerfusion
julienlopez/CppCodeAnalyzer
opencog/destin
naelstrof/slop
eryueniaobp/leetcode
tudelft-gist/val3dity
rafalprzywarski/libcppmanip
muse-sequencer/muse
briches/OpenSourceQuad
stack-of-tasks/sot-dynamic
e2guardian/e2guardian
Kolyunya/Unet
adobe-research/libkafka
digistump/DigiFi
stack-of-tasks/dynamic-graph
stack-of-tasks/dynamic_graph_bridge
ideawu/icomet
ddantas/visiongl
crosswalk-project/crosswalk
crosswalk-project/tizen-extensions-crosswalk
crosswalk-project/brackets-crosswalk
Reactive-Extensions/RxCpp
mozilla-b2g/platform_frameworks_av
victorlevasseur/GD-Widgets-Extension
systemics/cuttlefish
gaoyi/RSSExtension
JeffersonLab/hcana
stack-of-tasks/sot-pattern-generator
BLesnau/school
PNNL-OE-Redox-Flow-Battery-Cost-Tool/PNNL-OE-Redox-Flow-Battery-Cost-Tool
shebdim/cremu
allesrebel/rrLevelEditor
eth-srl/EventRacer
0x7CFE/llst
m1ari/Sandals
Alexcei88/Client-GixAnnex
