kc5nra/obs-browser
eHarmony/face-parts-service
Swordfish90/cool-retro-term
IMPOMEZIA/screenpic
CAFFEH/Trabalho01
ev3dev/ev3dev-lang
cs2103aug2014-t13-1c/main
krzysztofbroncel/AndroidSoapServer
googlei18n/libaddressinput
laosunhust/SceCells
justindomke/marbl
googlesamples/tango-examples-c
ksundberg/CS6300
zaixingmao/nTupleProduction
wchan/HestonCUDA
jefferis/nabor
MurielleEnString/Munchkin
maelvalais/cameroa
Kasoki/ntd
janLo/meet-and-eat-distribution-tool
nemomobile/buteo-sync-plugins-social
VetoProjects/VetoLC
CANBus-Triple/CANBus-Triple
James-Z/fulcrum
mvpete/cursive
skybotix/visensor_tools
sebjameswml/brahms
matscube/TopCoder
fabric-engine/SpliceMaya
cal-roboops/roboops
eval1749/evita
leapmotion-examples/VRIntro
evotools/hapbin
mrts/algorithm-utils-cpp
hpicgs/gloperate
Open-Transactions/opentxs-notary
agronick/BIR
DavidZemon/PropWare
UniversityRadioYork/ury-playd
google/gjstest
cs2103aug2014-w10-1c/main
SuckerServ/suckerserv
qqliangqi/accumulation
libbitcoin/libbitcoin_client
kisc/Library
abraxa/pulseview
syoyo/tinyexr
tangram-map/tangram-es
fonlabs/alljoyn
yamamushi/warpdriveoverload
willowgarage/arm_navigation_experimental
vifino/OCEmulator
jmankiewicz/lughos
CIS565-Fall-2014/Project-0
Kaylier/Comospartes
ROOTPWA-Maintainers/ROOTPWA
PimV/WorldOfRogues-CPlusPlus
fmichonneau/rncl
tum-vision/lsd_slam
bgrimstad/multivariate-splines
norbert-mueller/iRRAM
Matazure/websocket-cpp
Rox-/android_device_samsung_s3ve3g
VishrutMehta/PersonalizedNewsRecommendationEngine
HBPVIS/zeq
polybassa/WyLight
theonejcv/Marballs
libbitcoin/libbitcoin_explorer
pmauduit/QMapfileEditor
cookieisaac/Cracking-The-Coding-Interview-5th-edition-Solutions
dmitriyha/RetardedGame
metno/wdb
lansdon/cpts422
acronos7021/Stare
fabiensanglard/Chocolate-Wolfenstein-3D
nvpro-pipeline/pipeline
neilogd/HecticGameJam3Game
hughsie/PackageKit-Qt
skybotix/visensor_sample_applications
mharrend/plotscripts
cyberkitsune/PolarisServer
sli-fox/jamms
sy2517510/YangSteven_CIS17C_48596
GreatDevelopers/eCAD
shoaib30/DS-Lab
starschema/virtdb-common
chaabaj/BricksVM
slava77/emu
JasonL9000/cppcon14
junggang/blackbags
opengeoscience/vtkMap
aeroheim/pictualizer-SDL
JLmike7/Senior-Design
mkurdej/bft
Nuand/Simulink-MATLAB-bladeRF
BuffBuff/GE-Architecture
Metaswitch/gemini
sreecodeslayer/College_Build_of_PWManager
hbergeronx/futempro
ianvanwijk/Wet-Cat
