feelpp/quickstart
Dwaligon/twitchcreep
Xrate/cring
CNugteren/cltune
schuylerdaddy/AdvancedOS_Shell
KMarino/HapTechSeniorDesign
mdorenkamp/fhemduino
Mogara/QSanguosha-For-Hegemony
alberthdev/spasm-ng
PimpCashDev/pimpcash
clement-nardi/pics-dl
Microsoft/bond
couchbaselabs/breakpad
SebastianNiemann/Mantella
Iron-Panthers/FRC-2015
Crockeo/cpp-whatisthisgame
Digitopia/PORTOphone-app
m-labs/clang-lm32
jaredjones/JPQ
Manak-org/Manak
startkladde/startkladde
papyros/papyros-shell
zealdocs/zeal
izvolov/burst
MogaraOrg/QSanguosha
cyang1/depixelize
VGAD/ECSE
lordoffox/amsg
robotpy/allwpilib
apronchenkov/yalog
Microsoft/X-Mem
Vacuum-IM/vacuum-im
20k/OpenCLRenderer
ipa320/srs_public
alesegdia/ecscpp
XPIRe-team/XPIRe
mikeferguson/robot_calibration
Nuke928/NSEngine
hmartiro/redox
myriadrf/LMS7002M-driver
MKomiya/solno
RigsOfRods/rigs-of-rods
patwonder/FlashGestures
occomco/tum_simulator
secondsight/android_frameworks_native
juriad/X2C
F-AOSP/platform_frameworks_native
bitcoinxt/bitcoinxt
hellno/FloatSat
code-iai/semrec
DanielOgorchock/ST_Anything
jbrwn/NET-Mapnik
MrApocalypse/frameworks_native
pmineiro/mycaffe
abyss7/googletest
ryanwmoore/fceux
arton/RScript22
AhmedKamal1432/ClothesVirtualFitting
k2wlxda/android_device_motorola_titan
xdrpp/xdrpp
Twyford/Indigo
lichti1901/android_device_moto_shamu
rescrv/libtreadstone
jongheean11/Expandable
3s1d/WiFiYaala
DirtyUnicorns/android_system_security
hbirchtree/qstreamsuite
XileForce/Onyx-Device_Moto_Shamu
johnkit/vtk-dev
nosuchtim/VizBench
haspatel/proxygen
Mark--S/avloc
KaiSta/tempest
hirokiu/csn_raspi
osuosl/dssp
mydongistiny/android_device_motorola_shamu
Pelagicore/AudioManager
Hybrid-Rom/frameworks_av
Tecnocrat/v8
SorcererX/SepiaCore
joeppereira/caffe_1367
istarc/googletest
jancarlsson/snarkfront
arvindus/fbci
HaikuArchives/FontBoy
rainman110/tigl
Ziftr/bitshares
Kuxe/swordbow-magic
blumu/latexdaemon
ChaosGroup/cg2_2014_demo
tieto/multiwindow_platform_frameworks_native
msuiche/SwishDbgExt
githubtest20141111/caffe
Oh233/COMP2012H
silverpower/comrade_erika
valhalla/mjolnir
valhalla/baldr
valhalla/thor
valhalla/odin
valhalla/loki
