steveicarus/iverilog
commontk/CTK
jspricke/debian-openni
aburch/simutrans
jbenet/bson-cpp
openSUSE/one-click-installer
etotheipi/BitcoinArmory
Ummon/D-LAN
lumoslabs/ofxGeneric
BlueBrain/codash
GalSim-developers/GalSim
v8/v8
macgitver/macgitver
bengardner/uncrustify
krofna/Warrior-of-Dreamworld
0xd34df00d/leechcraft
openscenegraph/osg
stuntrally/stuntrally
AOKP/frameworks_av
AOKP/frameworks_native
hanzz/libtransport
hanzz/spectrum
freundlich/spacegameengine
ducakar/openzone
p3/regal
jeremycx/node-LDAP
oftc/oftc-ircd
frogatto/frogatto
fador/mineserver
ErikZalm/Marlin
wxWidgets/wxWidgets
OpenImageIO/oiio
STEllAR-GROUP/hpx
PDAL/PDAL
TortoiseGit/TortoiseGit
RhysU/ar
michaelcontento/bono
poulson/Clique
AeroQuad/AeroQuad
kerautret/DGtal-forIPOL
NixOS/nix
spurious/clang-mirror
RainerKuemmerle/g2o
llvm-mirror/clang
chapuni/clang
blackrim/phlawd
rescrv/HyperDex
mantidproject/mantid
broune/mathic
ceph/ceph
jmendeth/PyOpenNI
ncb000gt/node.bcrypt.js
zeromq/zeromq3-x
Arkania/ArkCORE
mickem/nscp
lindahua/light-matrix
lightspark/lightspark
Razor-qt/razor-qt
VMML/vmmlib
Eyescale/Collage
Eyescale/Lunchbox
OP2/OP2-Common
Eyescale/Equalizer
euroelessar/jreen
DavidBrainard/RenderToolbox3
yast/yast-ycp-ui-bindings
strasdat/ScaViSLAM
mana/mana
zeromq/zeromq2-x
postgres/pgadmin3
ondras/TeaJS
mariusmuja/flann
toastedcrumpets/DynamO
meekrosoft/fff
llvm-dcpu16/llvm-dcpu16
tomthorogood/Mogu
blueboy/portalone
jenkie/Arduino-Pedelec-Controller
pasnox/qodeedit
ispc/ispc
jonigata/caper
laas/metapod
TTimo/doom3.gpl
ofxa/openfx
jts/sga
weyrick/roadsend-php-raven
rudimeier/twsapi
northern-bites/nbites
nickbnf/glogg
onlinecity/cpp-smpp
visionworkbench/visionworkbench
AMDmi3/glosm
apache/thrift
mierl/ZHT
blueboy/portal
kvahed/codeare
rdp/screen-capture-recorder-to-video-windows-free
aseba-community/aseba
blackberry/Cascades-Community-Samples
kipr/libkovan
