mattibickel/csql
Cyberbeing/xy-VSFilter
junkumar/redbase
opdenkamp/xbmc-pvr-addons
joto/osmcoastline
herumi/xbyak
kallisti5/sheepshear
HAW-AI/Steganography
dhbaird/easywsclient
js-ojus/oct
davidgraeff/scenecontrol
sapr-bntu/chatqml
circleci/clj-v8
lirokoa/android_device_htc_pico_ics
travisfcollins/Thesis
jhasse/poly2tri
greearb/xorp.ct
martinrunge/muroa
adrianer/wxPython
landis/arduino
roa/dramaqueen
copasi/COPASI
yoshinorim/replication-booster-for-mysql
chiku/cmatrix
jhasse/chipmunkpp
mscdex/node-mariasql
steveschnepp/tiny-2d-games
ljanyst/xrdclient
kmike/DAWG
skynowa/xLib
rhdunn/cainteoir-engine
Eyescale/gpusd
mohitkharb/Opticks_GSOC2012
pieterdd/AptNotifier
Shouqun/node-dbus
HEROES-GSFC/SAS
yak1ex/ccf
doughodson/OpenEaaglesExamples
rug-compling/dact
afisher/picoclash
syoyo/tinyobjloader
spring/mingwlibs
kev40293/NoVoHT
komiga/duct-cpp
micahpearlman/MonkVG
j0sh/crtmpserver
rpavlik/vrpn
losalamos/Byfl
tanakh/waf-unittest
aashish24/paraview-climate-3.11.1
mhernando/Apolo
hugosantos/mrd6
miguelchavez/lemonpos
mstorsjo/platform_frameworks_av
the-kenny/netwars
gerardacy/MESI
Lowess/Calculatrice
Groogy/rbSFML
i-rinat/fragview
OpenChemistry/avogadroapp
CTSRD-CHERI/llvm
diffr/diffr-c
snip89/wsnsim-postprocessor
gorillabuilderz/gb-arduino-libs
CTSRD-CHERI/clang
svp-dev/mgsim
antis81/MsPiggit
jimloco/Csocket
numediart/MAGE
m1ch1/mapkeeper
thijse/Arduino-Libraries
duckduckgo/cpp-libface
orlandoacevedo/MCGPU
inventos/OpenHttpStreamer
blackberry/Bullet
lmmenge/SiOS
zdenop/qt-box-editor
essej/sooperlooper
komh/kscp
pgRouting/osm2pgrouting
CSB-at-ZIB/PARKINcpp
libgeos/libgeos
nickbruun/hayai
pelican/pelican
paulhodge/circa
jacobsa/gjstest
dschmidt/amarok
a4/a4store
mackron/GTGameEngine
patgithub/TbdLib
colinhect/Nominal
funkaster/testjs
arvidn/libtorrent-webui
maxmcguire/rocket
ekg/freebayes
preillyme/v8js
smarr/googletest
nickgammon/mushclient
bittorrent/libutp
Mystler/Lemuria
