cms-sw/cmssw
underdoeg/ofxBoxModel
keepassx/keepassx
paralect/robomongo
iSECPartners/yontma
skyfox69/NifUtilsSuite
Dhwty/flist-messenger
magik6k/nativehttp
Twinside/DiffTimeline
AlexAUT/Kroniax
prclibo/relative-pose-estimation
weicao/cascadb
Sude-/lgogdownloader
adhishm/blackout
matus-chochlik/oglplus
Predelnik/DSpellCheck
devsim/devsim
hanzz/qsimkit
tjanczuk/edge
ros/geometry
bombela/backward-cpp
omiddavoodi/MEIL
Pochoir/Pochoir
lexicalunit/nanodbc
jeromerousselot/mixim-uwb
DeDiS/Dissent
SkyFireArchives/SkyFireEMU_old
vintagewang/tuxone
silvn/snapdragon
ccdevnet/openc2e
shadow-robot/sr-teleop
roboptim/roboptim-shared-tests
zalf-lsa/monica
Protoneer/GRBL-Arduino-Library
RedhawkSDR/basic-components
BenCaulfield/GraphMasking
bengfarrell/nuimotion
PR2/pr2_mechanism
PR2/pr2_controllers
dazeus/dazeus-core
PR2/pr2_ethercat_drivers
esa/pagmo
PR2/pr2_power_drivers
jlaine/wilink
JohannesEbke/drillbit
tomfielden/RICO
Skunkworks1983/2013UltimateAscent
cs-au-dk/Artemis
scilus/fibernavigator
lbproductions/ProjectStats
ufoai/ufoai
aldebaran/libport
speziale-ettore/llvm-acse
tortoiseq/liee
tominokers/MFMP
fpga-logi/Logi-tools
webOS-ports/qt-webos-plugin
gpicchiarelli/rgbdpro
SponsorPay/mysql-replication-listener
AllenPestaluky/InputLagTimer
bakercp/ofxHTTP
olibc/stlport
jhol/pulseview
mseaborn/tiny-llvm-codegen
m-ou-se/moggle
jmbeck15/axe-and-pick
Orange-OpenSource/YACassandraPDO
Latexi95/CBCompiler
lilveg/OSGARD
Try/Tempest
nehmeier/libieeep1788
jensl/v8-jsshell
timothy-shields/linq-cpp
eschkufz/x64asm
randombit/botan
Atom/node-oniguruma
fdr/plv8-static-debian
ros-interactive-manipulation/household_objects_database
kineticsquid/kineticsquid
cktben/ssl-vision
femto-dev/femto
nucleic/atom
shawnclovie/cocos2dx-LuaProxy
mempko/firestr
m-garanin/zgui-qt
sipa/secp256k1
hemakoppula/human_activity_labeling
bschwind/gfk
nemomobile/qmlpinquery
jvcleave/OpenNI2AppExample
YCAMInterlab/RAMDanceToolkit
gennady/ja2-stracciatella
VanirAOSP/external_clang
fangism/llvm
fangism/clang
simwah/cv_wasteland_chernarus
ALSchwalm/WorldSimulator
dail8859/DoxyIt
pyroboynroses/Tobeca
bjoern-andres/graph
