FirefoxSTE/android_system_vold
miloyip/nativejson-benchmark
micnews/ldbcmp
FirefoxSTE/android_frameworks_av
miaosp/frameworks_native
Monofraps/glove
kpkhxlgy0/msgpack-c
bluescarni/arbpp
Wallacoloo/gparse
louiz/biboumi
petebachant/turbinesFoam
hrhill/linalg
topopt/TopOpt_in_PETSc
KonstaT/android_device_zte_kis3
mas-group/rockin-refbox
neobrain/nihstro
valmat/RocksServer
lolisa/Artificial_Intelligence_A_Modern_Approach
steinwurf/external-yaml-cpp
tagged/bruce
cassianoalves/toomuch-tray
sampsyo/clang-quala
Chilledheart/qt
r0kk3rz/SirenSong-Media-Player
boostorg/endian
enpe/wbt202-config
elenasa/ULAM
LB--/resplunk
stonier/message_multiplexing
rkkautsar/QTempatDuduk
chris-turner137/libcplist
fundamental/stoat
tonybaltovski/ros_arduino
CastXML/CastXML
ElvishArtisan/rivendell
CerberusDev/LandscapeEditor
mean00/avidemux2
obviousjim/ofxOculusDK2
LabAdvComp/Parcel
lolisa/reflection
yulonglong/Static-Code-Analyzer
cms-externals/geant4
iAOSPA/android_hardware_qcom_media-legacy
millerjs/Parcel
hiraditya/origin
David-Hanna/UPEIGame
ros2/examples
hirishh/BorzoCoin
smarinac/root
PhiladelphiaGameLab/Lux
Scalable-Key-Value/code
tejainece/alr_tstgen
muzzley/muzzley-client-cpp
tundra/tclib
Xero-Hige/Susanoo
WinPooh32/Wooden_Engine
fkanehiro/openhrp3
jrnewell/crypto-aes-ctr
gamekit-developers/gamekit
loldevs/libOL
synox/spark-transport-display
figec/ttyhlauncher
wimvanderbauwhede/gmcf
dezgeg/yagb
jwojak/Profiterole
caparrov/llvm-performance
MiniGame/JTW
TEHGAM/RW2
melvyn-sopacua/kdelibs
solids/net-oce
pcbend/GRSISort
eddelbuettel/rcppstreams
haum/ponghaum
roxma/cpp_learn
anthann/Opencv-Experiment-Collection
Calvin-CS/TSGL
jimregan/tesseract
MyGUI/mygui
xin3liang/platform_external_icu
xin3liang/platform_frameworks_native
dannyvai/geekconX-2014
praneethas/Compiler-Design
kaazvaag/KODI-RK
nicola-gigante/bitvector
gridem/Synca
appcelerator-modules/ti.barcode
alextsui05/python-console
edwardcapriolo/etcdcpp
germancarrillo/quad
cdrofenik/neptune-physics
ros2/rclcpp
ros2/ros_middleware_connext
gisellemnr/poppler
chcbaram/stm32ld_gui
Rasbats/OTCurrent_pi
gpgpu-sim/gpgpu-sim_distribution
lonski/amarlon
motokimura/SCTracker
Jeija/planether
logotype/myodaemon
