panda3d/panda3d
code-iai/iai_robot_drivers
lrmcfarland/Coordinates
lissom/mlightning
stimulant/MS-Cube-SDK
iondune/Aqueous
etcenter/C4
pkourany/Adafruit_VS1053_Library
stnuessl/tq
prplmnky/harbour-encryptor
google/pienoon
librehat/libqtshadowsocks
dslul/cinema-scope
jordanlittlefair/Foundation
chukong/CocosStudioSamples
eaertbel/expressiongraph
Mystelven/algorithmeGraphique
sirnfs/BlockBasedMotionEstimation
tue-robotics/ed_perception
GOAP/client
kolab-groupware/zanshin
lilott8/CS220_Final
nasty007/android_device_lge_mako
xanxys/pentatope
Wouter1/EMU-driver
hadzim/BioFW
IotBue/nestRemix
flo2k/GenericExpressInstanceParser
zerebubuth/openstreetmap-tile-analyze
Kitware/ParaViewCatalystExampleCode
sumedhghaisas/Manak
eXpl0it3r/LTBL
agamez/yappari
ManiacalLabs/AllPixel
NIRALUser/DTIPrep
m-bra/Blocks
ajorians/TestProject
kth-ros-pkg/dumbo_driver
Qihoo360/Mario
noodle1983/putty-nd3.x
clbr/fifth
mcastron/TinyBRL
cisco-open-source/kodi
Rcpp11/Rcpp14
EmperorArthur/VBA-M
Desura/desura-app
kalsan/powerlines
greyna/TX-3D
bfierz/vcl
card-io/card.io-iOS-source
FOSS-Cloud/fc-broker-daemon
Bytewerk/gta2-hackers-remix
esseks/monicelli
mwetstein/WChSandBox
arrowlang/arrow
fortressforever/fortressforever
cpe7/chip8
pocketmoon/EDTracker-9150
HSAFoundation/HSA-Runtime-Reference-Source
svn2github/TheDarkMod_SVN_Unofficial
agnat/n2o
ipa320/seneka_sensor_node
rock-simulation/simulation-orogen-mars
oscjohnson/SSAO
Anoth3rone/XBMC
eigengo/lift
venkatesh20/VRPH
felakuti4life/squeakEngine
Menooker/AgentGo
mphoward/mdalyzer
kaspermarstal/SimpleElastix
google/mathfu
correlllab/cu-droplet-sim
jaredhoberock/agency
lukh/lukheengine
austonst/chess2
DirtyUnicorns/android_device_lge_hammerhead
Nbodypp/HOW_final
torognes/vsearch
danilovsergei/keepassx-gdrive
SPUDevelopers/Naturalize
AbletonAG/aqt-stylesheets
RainbowDreamGroup/TinyGame
rtoal/polyglot
KnowSheet/Bricks
ismrmrd/ismrmrd
rockeet/nark-bone
DerMichiDa/c-1415
HaikuArchives/ScriptureGuide
lducas/FHEW
mvuab-g1-14-15/GameEngineUAB
beldonl/GotE-CanSat
Chamawix/Krismoon
AdanTL/SORGES
KTH-RAS-4/wheatley
ketor/ceph-dokan
BlackCrowned/OpGLLib
ufal/korektor
vikiboy/AGV_Localization
ITLab-Vision/obj-detect-classifiers
