OSURoboticsClub/Rover2015
kimkulling/openddl-parser
SimpleAOSP-Lollipop/platform_device_lge_hammerhead
mrk21/cpp-webmock
snoopspy/gtest
craigacgomez/platform_system_vold
scross99/locic
ipa320/cob_people_perception
TricksterGuy/nin10kit
SimpleAOSP-Lollipop/platform_device_lge_mako
VentureROM-L/android_device_lge_mako
TheMarex/libbipedal
neloe/EasyZMQ-Cpp
sailfishos/droidmedia
Red-Li/leetcode
Ultraschall/Soundboard
CustomRomSources/aosp_frameworks_native
gcdean/JudoMaster
andr3wmac/Torque6
anthonyaje/np_project
Overv/vramfs
craberger/EmptyHeaded
joefutrelle/bic
johnmarinelli/qt-projects
qbb-project/echelon
abyzovlab/CNVnator
Euphoria-OS-Legacy/android_hardware_qcom_media
Euphoria-OS-Legacy/android_system_vold
salamanderrake/KDevelop
naazgull/zapata
Euphoria-OS-Legacy/android_frameworks_av
sanjeev87/CaffeDissimilarityProject
flexilef/SyCalc
SkidanovAlex/py-ctrlk
fivdi/i2c-bus
halobrewery/kegmeter
ands/OculusMeetsAR
reprapbcn/BCN3D-Firmware
drizt/torrent-file-editor
MoKee/android_hardware_qcom_media
Euphoria-OS/android_device_lge_mako
ejjoman/harbour-sailfishreboot
neloe/FastBSON-Cpp
Lizzard-Entertainment/GP2CourseWorkProject
enlight/boxteroids
exdroid/device_lge_mako
tudelft3d/pprepair
GMaxera/QtFacebook
Lums-proj/Lums
DirtyUnicorns/android_art
andrius4669/zeromod-sauerbraten
nicoboss/KickassCopy
nebula-engine/Nebula-Graphics
chriszero/vdr-plugin-plex
rantonels/macchina
CriDos/DLLCollector_recode
stubma/cocos2dx-classical
filtering-library/fl
omnirom/android_device_moto_shamu
multiworldtesting/decision
bitbouncer/csi-kafka
mannau/h5
furylynx/flcolorlines
Ironholds/urltools
9miao/CartoonHouse
OptiPop/frameworks_av
accphys-collab/lib-tracy
snoopspy/snoop91
UAVCAN/uavcan
minerva-developers/minerva
meganz/sdk
NeckbeardedLoser/dcss-detumblrfied
carpe-noctem-cassel/alica
MaxReimann/troen-simulator
zenithzephyr/didftp
opengisch/QGIS-Mobile
ras-sight/hratc2015_framework
akof1314/CoolFormat
tqchen/rabit
project64/project64
carpe-noctem-cassel/supplementary
gardoll/ufreasi
dobkeratops/compiler
bawjensen/COMP-499-IndependentResearch
sleemanj/ESP8266_Simple
kazankov/apm
Volkanite/Push
Shtille/ScriptEngine
AdrianArroyoCalle/haiku-todo
GaloisInc/helib-demos
RFD-FHEM/RFDuino
jeffpicard/raytracer
Euphoria-OS/android_device_lge_hammerhead
szagoruyko/torch-caffe-binding
AndrewGaspar/transducers.hpp
YutaItoh/3D-EyePosition-Estimation
Ra1nWarden/Algorithms_And_Data_Structures
dcs-bios/dcs-bios-arduino-library
androidarmv6/android_art
lysevi/gmpack
