Ingener74/Asteroids
ericremoreynolds/excelpython
kimmoli/paint
atcsecure/X11COIN
kimmoli/valuelogger
AchimTuran/LibXConvolver
telegramdesktop/tdesktop
tmyroadctfig/qt-4
eddelbuettel/rcppgsl
cameron581/frameworks_native
whentp/sthcpp
dmarce1/xtree
TyRoXx/silicium
CentauriROM/android_frameworks_native
riklund/MatrixUtils
matheussampaio/algoritmos-avancados
sintefmath/cloudflow_keystone
kflog-project/Cumulus
DroidSim/platform_external_libcxx
Buckmarble/android_frameworks_native
contactless/wb-homa-drivers
Lokidottir/boiled-plates
happyfish100/test
floatingatoll/crawl
CentauriROM/android_hardware_qcom_media-caf
OSCCAR-PFM/OSCCAR
equalsraf/neovim-qt
knowthelist/knowthelist
steinwurf/stub
bitleu/bitleu
pcoving/caffe
alkhimey/ConstrainedTypes
lynx-cpp/PipeY86
ratschlab/mmr
GKIFreiburg/gki_navigation
karlmoritz/bicvm
vikstrous/binder_full_of_elves
facebookarchive/scribe
steevo87/thermalvis
KitwareMedical/TubeTK
codewalkerster/android_dalvik
tfogal/dyninst
Pelagicore/ivi-logging
L4D15/OpenGE
meltuhamy/native-calls
ferrall/niqlow
nathanielherman/sto
LCLS/OpenMMFBM
SVMP/webrtc
adiknoth/calf
nickgillian/grt
dpfoose/Vespucci
Dgzt/buttonfootball
paulrademacher/asyncpp
chiahsun/v4abs
Bromvlieg/gm_bromsock
coverxit/EasyDrcom
updatenode/unclient
GMMTeam/GMM
caicaiking/WKEFactoryView2014
28msec/zorba-jdbc-module
28msec/zorba-csv-module
TEAM-Gummy/android_device_motorola_moto_msm8960
filcab/clang
gabomarin/IA_Kibus
NoAvailableAlias/nano-signal-slot
BobGneu/Flathead
MariaDB/server
ebshimizu/Lumiverse
FairCoinTeam/fair-coin
skriticos/tab_opener
furylynx/MAE
InebriatedSquirrel/Seagulls
kuangchen/ProtoMolAddon
localghost/micro-spotify
admsyn/FITC-2014-slides
groxar/curoy
jubatus/jubatus_core
sgss/mirror-googletest
okdevdo/UserLib
jrziviani/zwm
sorressean/Aspen
Pinenats/dex
cburschka/lyx
jerome-quere/djyayo
cpcsdk/cpctools
LongSoft/UEFITool
Orangecoins/Orangecoin
ccbrown/xiv-sim
ostash/qt-i18n-uk
Riouken/cTab
timrwood/blackcat
kit-cel/gr-radar
nna774/2048-cpp
alliedmodders/metamod-source
Parallel-in-Time/PFASST
rodrigoavalente/LibSimulation
ldionne/hana
caioc2/vxl
JeffersonLab/BubbleEx
