nisselarsson/fs2_open_patchbucket
bytemaster/Boost.RPC
hamaxx/unity-2d-for-xmonad
OpenVSP/OpenVSP
gottcode/focuswriter
wargio/NoRSX
rudimeier/twstools
Moligaloo/QSanguosha
CTSRD-TESLA/clang
Kazade/kazmath
cryporchild/monitoRecast
onyx-intl/booxsdk
qpdf/qpdf
lotem/librime
yamamushi/theasciiproject
sudar/Yahoo_LDA
OPM/ewoms
mrtazz/plustache
Bromeon/Thor
XoomCode/AcidMaps
aldebaran/libqi
aldebaran/libalmath
omcfadde/dante
qreal/qreal
snes9xgit/snes9x
Syntopia/Fragmentarium
niklasso/minisat
Aloshi/EmulationStation
wearefractal/pane
php/php-gtk-src
luispedro/imread
kripken/box2d.js
PixarAnimationStudios/OpenSubdiv
bioinf/bayecho
pennomi/polymorphable
tomahawk-player/tomahawk-resolvers
yxl/Fire-IE
originell/jpype
telldus/telldus
Intline9/IntPe9
jckarter/clay
MSV-Project/MSVTK
zaphoyd/websocketpp
fuyasing/RankView
chenshuo/muduo
fajran/tongseng
ciyam/ciyam
Igalia/gallery-tiltshift-plugin
interactive-matter/aJson
pdinklag/JSFML
patriciogonzalezvivo/cursoOF
MIPS/external-webkit
agabor/platan
ane-community/botan-crypto-ane
yxl/Firefox-Muter
ackoroa/UVa-Solutions
NicoHood/HoodLoader2
bluescarni/piranha
Winterleaf/OmniEngine.Net
mtholder/ncl
mrgt/MongeAmpere
boostorg/pool
wilbert-alberts/PiControl
kennytm/utils
PurityROM/platform_external_skia
suokko/BridgeClock
Spirit-Blood/hardware_qcom_media-caf
hydroponica/gil
SCIInstitute/ShapeWorksStudio
chronokings/huntercoin
sermanet/OverFeat
otfried/ipe-tools
Aldrog/TwitchTube
Deuchnord/Hermes
TransNeptunianStudios/Triangulum
goinvo/hMixer
jdeng/word2vec
IMPOMEZIA/schat
quantum-os/quantum-shell
taglib/taglib
pingdynasty/OwlNest
yinquan529/platform-external-chromium_org-testing-gtest
Arkshine/Orpheu
ashamin/Bpde
jjensen/luaplus51-all
binaryking/nub
ofZach/avsys2012
EkkiD/maze3d
FabriceCastel/raytracer
adafruit/Adafruit_NeoPixel
BrainComputationLab/ncs
TideSofDarK/grief-trigger
pixie16/pixie_scan
schoentoon/tripping-cyril
sparkfun/WiFly-Shield
lee-houghton/eos
hrobeers/finFoil
elkorn/skip-list
fsf-metal/metal
safetydank/canabalt-bluegin
