nextgen-astrodata/DAL
opencor/opencor
voikko/corevoikko
juj/kNet
bzar/spacerocks
percolator/percolator
usc-clmc/usc-clmc-ros-pkg
qbasicer/qzdl
3breadt/UPB-ADT-Automata-Tools
DDMAL/libmei
mstorsjo/fdk-aac
mrquincle/aim_modules
rprichard/winpty
Red-F/xbmc-addon-fortherecord
libLAS/libLAS
VDrift/vdrift-mac
Darkpeninsula/Darkcore
ccoffing/OcherBook
cyclus/cycamore
Tasssadar/Lorris
tatsuhiro-t/aria2
romdi/IOS
timflutre/quantgen
Sharpie/TeXworks
vinniefalco/DSPFilters
moxie0/sslsniff
gree/flare
alanxz/SimpleAmqpClient
scalien/scaliendb
scandium/hashcat-gui
mworks/mworks
rogerwang/node-webkit
alamaison/swish
falkTX/Cadence
plenluno/libnode
pezmaster31/bamtools
janisl/jlquake
Riateche/ridual
plenluno/libj
joakimkarlsson/igloo
lalinsky/chromaprint
ShabbyX/shCompiler
julianstorer/JUCE
zrax/pycdc
arturoc/ofxPlaymodes
wahjam/wahjam
wojdyr/fityk
underdoeg/ofxFenster
doughodson/OpenEaagles
patriciogonzalezvivo/ofxFX
spenap/butaca
indutny/vock
jasonmarziani/CCParallaxScrollNode
BlueBrain/dash
ivansafrin/Polycode
vir/yate
kripken/ammo.js
sirikata/sirikata
emeryberger/Hoard
firebreath/FireBreath
pfultz2/Linq
udp/lacewing
Habbie/powerdns
scriptdev2/scriptdev2
bramp/libcec-daemon
dsw/oink-stack
jeremybennett/verilator
bendudson/BOUT
kylemcdonald/ofxFaceTracker
HeliumProject/Helium
wichtounet/eddic
SophistSolutions/Stroika
Team254/FRC-2012
pilkch/medusa
pilkch/library
omegaonline/oocore
mroonga/mroonga
ms705/firmament
SimpleITK/SimpleITK
vslavik/diff-pdf
blackberry/Ripple-Framework
Lexikos/AutoHotkey_L
t-crest/patmos-clang
malaterre/GDCM
petrs/EACirc
qdii/tatoeba_parser
rhdunn/cainteoir-gtk
ngocdaothanh/jsg
danftang/ProCamSolver
csete/gqrx
emeryberger/DieHard
libpinyin/libpinyin
epico/libpinyin
yast/yast-storage
dzzie/VS_LIBEMU
openSUSE/libstorage
Chad0989/device_htc_vigor
msgpack/msgpack-c
apache/trafficserver
bkloppenborg/simtoi
