uysalere/ggks-multiSelect
MaxBelkov/visualsyslog
robbeofficial/KinectTouch
f825f5242ed81a32cd04e5269665f40a/libmyolinux
kodi-pvr/pvr.filmon
binghamton/marss
m-lab/mping
GraphChi/graphchi-cpp
incredibleliuchi/PKU_distrystem
akumuli/Akumuli
DOCGroup/ATCD
graphlab-code/graphlab
golems/dart
dphoyes/OpenCL-Structure-from-Motion
mdrasmus/argweaver
nemomobile/libbluez-qt
planetlabs/plcompositor
bass0324/platform_device_lge_hammerhead
GadgetFactory/Papilio-Loader
maidsafe/MaidSafe-Vault
tue-robotics/ed_object_models
karzler/LLVM-SetID-Error-reporting
bakercp/ofxJSONRPC
vancegroup/lua-voce
ppiecuch/AwesomeBump
android-808/microbe
kerautret/ImaGene-forIPOL
teamMadScientist/DeathCurtain_prototype
kenhaui/GameDemo
nasa/europa
zhiyb/graphic
zdevito/terra
OptiPop/external_skia
RobotnikAutomation/summit_xl_sim
rubenwardy/NodeBoxEditor
madsci1016/Sparkfun-MP3-Player-Shield-Arduino-Library
boostorg/geometry
vzaccaria/bsvc-2.1-macosx
JeffreyMJohnson/GLFramework
ronasimi/device_lge_gee-common
clseitz/TreeAnalyzer
llvm-dcpu16/clang
TheTorProject/stegotorus
SuperNexus/android_dalvik
hakase-labs/hikari
Crestington/Colossuscoin2test
sit/dht
southkyle/interview
tkerstan/Aquaduino-Next
rism-ch/verovio
alexanderkjeldaas/boost-mirror
Bertram25/ValyriaTear
barcharcraz/d3dGame
zballina/lxqt-config-randr
wtsi-npg/simtools
thomas-moulard/visp-deb
Euphoria-OS-Legacy/android_art
julianadenauer/readytocloud
dataseries/DataSeries
scen/libembryo
AdUki/LuaState
sergey-vlasov/nulloy
Jesse-V/Multibrot-3D
trinityclassic/trinityone
UIUCSinhaLab/GEMSTAT
ioriayane/KanmusuMemory
bcgsc/abyss
angaza/pybdaq
Metaswitch/memento
eutelescope/eutelescope
OpenEmu/Mednafen-Core
blue-shell/folderview
umlaeute/Gem
groovenauts/libgss_cocos2dx_sample
Jim-Holmstroem/Hax---The-Game
DirtyUnicorns/android_device_lge_gee-common
user-none/Sigil
chebert/cavestory-screencast
allan-simon/tatoblog
m-mizutani/swarm
portalmod/mod-distortion
evlad/nnacs
clicon/rost
Metaswitch/sprout
diegolagoglez/libclipp
cvra/can-bootloader
kaoskorobase/oscpp
malakdecaen/DeadNation
sprenger120/FastCraft
ros-planning/moveit_planners
MBach/Miam-Player
DroidSim/platform_external_protobuf
objectcomputing/OpenDDS
simplerr/Project-Invasion
mali/kdevplatform
rubdos/libap2p
boostorg/exception
mikaelpatel/Cosa
JeremyRand/libcoin
mjc-ermont/2011
