jpec/Qfacture
giveen/android_device_dell_streak7
jfnavarro/PrimeTV2
rdp/google_hash
jezhiggins/arabica
yangacer/JSON-CC
laas/hpp-model-urdf
SlimRoms/hardware_qcom_display
qterminal/qtermwidget
amorilia/niflib
hajimehoshi/ebiten
wanpinglee/MOSAIK
tstack/lnav
aaronmcdaid/collapsedSBM
SysFera/libdadi
openhome/ohSongcast
ethz-asl/libnabo
nemomobile/commhistory-daemon
tudelft-gist/pprepair
speth/ember
lwinkler/markus
kfc35/SpringDB
vsajip/clang
JackKelly/rfm_edf_ecomanager
freeorion/freeorion
blmarket/crawl-korean
seichter/osgART
collectivemedia/node-avro
lettis/Kubix
logicmachine/LibCompetitive
syntheticpp/qt-creator
xrubio/pandora
simonbe/nexa
mnmlstc/unittest
yaschool/ltr
grodansparadis/vscp_software
bbockelm/xrootd
lucasart/chess
pixhawk/mavlink-ros-pkg
ahartel/neuroCL
laas/hpp-geometry
salsita/Magpie
jorisv/Tasks
ItchyPlusPlus/ItchyPlusPlus
westlab/negi
duststorm/OgreCrowd
yujinrobot/kobuki
ndarray/Boost.NumPy
umitproject/openmonitor-ios-agent
ctsa/gvcftools
SlimRoms/hardware_qcom_media
rdanbrook/nestopia
rawler/bithorde
ozkriff/marauder
jorisv/SpaceVecAlg
vinniefalco/LuaBridgeDemo
jrl-umi3218/jrl-dynamics
wang-bin/qdevicewatcher
Zguy/Jzon
nemomobile/eventfeed
toaarnio/webcl-firefox
scheibel/tasteful-framework
scheibel/tasteful-server
keithw/alfalfa
mrtazz/restclient-cpp
pal-robotics/perception_blort
reenigne/reenigne
rsacksteder/CS383Project
aparent/QCViewer
inducer/meshpy
jorgeazevedo/xenomai-lab-oscilloscope
amorilia/nifskope
CTSRD-SOAAP/soaap
rfabbri/Gem
avilleret/Gem
mpruett/audiofile
smurfy/fahrplan
amonakov/primus
kindahl/infrarecorder
stransky/berusky2
trep/opentrep
chloerei/qtalk
mtconnect/cppagent
thp/numptyphysics
PacificBiosciences/ConsensusCore
svalinn/DAGMC
thliebig/openEMS
bright-dev/bright
openwebos/smartkey-hun
openwebos/activitymanager
smenon/dynamicTopoFvMesh
kudkudak/Growing-Neural-Gas
SlimRoms/frameworks_av
SlimRoms/frameworks_native
plasmodic/ecto_ros
FortySevenEffects/arduino_midi_library
lwille/node-gphoto2
omnetpp/mixim
Revolutionary-Games/Thrive
tmakkonen/sipcmd
