coreos/installer
jimmiebergmann/Bit-Engine
ros-drivers/openni2_camera
ContinuumIO/libdynd
bloer/daqman
medInria/medInria-public
kaosphere/Warhole
XCSoar/XCSoar-TE
lluisgomez/text_extraction
ParallelMazen/pusherpp
josh23french/photo-upload-inator
mirror/libtorrent
ubixum/nitro
lukestanley/emscripten_shedskin_setup
sparkfun/LilyPad_MP3_Player
MOBle/GWFrames
islog/liblogicalaccess
jksrecko/libaria
CisecoPlc/PiLite
mer-packages/mkcal
EduFill/components
peardox/bbww10ext-release
feng-ye/synergy
sneumann/mzR
OlafRadicke/peruschim_cpp
LTLMoP/slugs
bendi/node-mpg123n
svn2github/google-breakpad
davidgfnet/whatsapp-purple
Krozark/cpp-Socket
dirtybit/OpenTLD
mrtoniliu/Software-Engineering-Coursework
FoxWorks/FWE
bneijt/ccbuild
jimon/cppgm_tools
TopPairPlusGamma/AnalysisTools
OlafRadicke/cxxtools
OlafRadicke/tntnet
OlafRadicke/tntdb
falkTX/qtsixa
mer-packages/libresourceqt
yankrasny/Repair-Partitioning
technicallyerik/WIRK
davidsiaw/serialist
Atom/node-spellchecker
Atom/node-keytar
roig/Endavant
scafacos/scafacos
StevenHickson/PiAUISuite
vdrd/cl
funkathustra/netmf-community-ports
inet-framework/simulte
embeddedprojects/gnublin-api
VerKnowSys/TheSS
crossfire77/android_device_htc_msm7x27-common
mgieseki/dvisvgm
logandk/restful_mapper
rgbdemo/rgbdemo
miiicmueller/SmartWater
happycube/ld-decode
nemomobile/qtcontacts-sqlite
mer-packages/kcalcore
simplerr/Devbox
hicknhack-software/QSqlMigrator
p3root/signalr-qt
royvegard/qmidiarp
opentrack/opentrack
nemomobile/connectionagent
rmartinho/taussig
mskoenz/perimeter-qmc
ulfhermann/openttd
proftom/QuadCopter
davidshepherd7/oomph-lib
vancegroup-mirrors/sofa-framework
elliotwoods/ofxXimea
cxx-hep/root-cern
nandor/MAZE
orcc/jade
vantharion/PVGame
ezibyte/EziSocial-StartupKit
wanderwaltz/OCSquirrel
openvsip/openvsip
cocaine/cocaine-framework-nodejs
nemomobile/nemo-qml-plugin-alarms
wyolum/EPD
beark/ftl
evanlucas/node-launchctl
benstreb/Gorilla
TraxNet/ShadingZenCpp
kerchen/LoomPreview
jdel/syno-packages
shotgunsoftware/browser-plugin
xLAva/JediAcademyLinux
jotak/RPGProject
slayoo/libmpdataxx
TimeCoder/LifeTime
HSA-Libraries/Bolt
MarkusRannare/ScribbleCats
ajgilbert/ICHiggsTauTau
BSVino/DoubleAction
