sfwa/ukf
kingsfordgroup/sailfish
num3ric/Cinder-Skinning
mangosR2/mangos4
1mouse3/android_device_zte_aurora
larspensjo/lplog
yvt/openspades
Jebbs/DSFML-C
cmkuo/ggAnalysis
jsam/nightwing
Zardoz89/dcpu_vm
BloodAxe/CloudCV
OTL/oculus
Daniel-Cortez/DC_CMD
essennell/narl
gyf1214/OI
cmdevries/LMW-tree
KDAB/sqlate
arcnexus/RedFoX
ethz-asl/qgc_asl
jgmao/MTC
yuin/iceberg
Mahdi-Rom/android_device_lge_mako
UCL/GreatCMakeCookOff
hep-skku/SKKU
amarini/GAnalysis
GNOME/gnome-commander
rbock/sqlpp11
Konstanty/libmodplug
Mahdi-Rom/android_frameworks_native
Mahdi-Rom/android_system_vold
Henry23/RecordsManagementSystem
huqinghua/pyui4win
Kreogist/Cuties
cad-san/lightseek
wokste/steamdiggerengine
OpenEmu/VisualBoyAdvance-Core
tomas789/dx
Ambrosys/gpcxx
lammps/lammps
Alek900/ToxQML
OpenEmu/SNES9x-Core
luca-m/emotime
sipXtapi/sipXtapi
jhu-lcsr-forks/orocos_kinematics_dynamics
UCSD-E4E/hammerhead-3-0
sipXtapi/sipXtapi-svn-mirror
mistic100/UMWP-Autochanger
lxde/lxqt-config
lxde/lxqt-notificationd
dankelley/gri
ValeevGroup/mpqc
ValeevGroup/tiledarray
riccardobellini/VehicleReminder
commonquail/efulauncher
karlwestin/node-gumbo-parser
mnmlstc/core
RangelReale/htmlbutcher
yoyz/audio
starcoinproject/starcoin
WPI-ARC/hubo_ros_control
UNINETT/fwbuilder
g3tsum/aosp_geeb
gerbaudo/SusyTest0
hpicgs/cgsee
CLOUDS-Interactive-Documentary/WebHistory
ManiacalLabs/BinaryEpochClock
codestation/qcma
chaot4/sea-crossing
hpicgs/libzeug
therocode/featherkit
cms-ttH/BEAN
simbody/simbody
named-data/ndn-cpp
DanNixon/FP_StreamTimelapse
sintefmath/hpmc
irkit/device
trackpoth/Tactical
tum-vision/dvo_slam
Tomius/LoD
babynewton/drew
ros/urdfdom
xournalpp/xournalpp
tristanpenman/valijson
m-lab/libraries
jefferis/cmtk
doo/PubNub4Qt
evaleev/libint
ghost-kit/GHOST
csteifel/dgal
hekar/luminousforts-2013
a-richardson/convert2qt5signalslot
qtproject/qt-labs-qtwebengine
mer-qa/crash-reporter
haiwen/seafile-client
LOSP/frameworks_av
Towerthousand/VBE
adafruit/Adafruit_CC3000_Library
trumae/PractWave
logicchains/Levgen-Parallel-Benchmarks
